,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-8.87,-8.56,-4.28,0.69,6.78,12.32,14.18,12.98,8.42,3.00,-2.76,-6.64
1,0.26,0.25,0.21,0.23,0.26,0.29,0.30,0.25,0.21,0.23,0.28,0.28
