,Country,Anomaly,Unc.
0,Afghanistan,-0.389,0.406
1,Albania,0.005,0.324
2,Algeria,0.026,0.433
3,Andorra,0.259,0.23
4,Angola,-0.464,0.336
5,Anguilla,-0.294,0.426
6,Antarctica,,
7,Antigua and Barb,-0.239,0.38
8,Argentina,-1.033,0.359
9,Armenia,-1.08,0.486
10,Aruba,-0.647,0.292
11,Australia,-0.073,0.306
12,Austria,0.481,0.348
13,Azerbaijan,-1.184,0.451
14,Bahamas,-0.083,0.428
15,Bahrain,-0.676,0.611
16,Bangladesh,-0.225,0.409
17,Barbados,-0.327,0.395
18,Belarus,-0.23,0.426
19,Belgium,0.211,0.385
20,Belize,-0.32,0.429
21,Benin,-0.341,0.46
22,Bhutan,-0.044,0.346
23,Bolivia,-0.608,0.396
24,Bosnia and Herz,0.399,0.353
25,Botswana,-0.861,0.393
26,Brazil,-0.351,0.37
27,British Virgin Is,-0.303,0.42
28,Bulgaria,-0.039,0.356
29,Burkina Faso,-0.224,0.517
30,Burma,-0.221,0.43
31,Burundi,-0.182,0.382
32,Cambodia,-0.452,0.296
33,Cameroon,-0.377,0.411
34,Canada,-0.178,0.495
35,Cayman Is,-0.241,0.393
36,Central African Rep,-0.329,0.367
37,Chad,-0.353,0.4
38,Chile,-0.95,0.44
39,China,-0.211,0.222
40,Colombia,-0.601,0.387
41,Comoros,-0.361,0.368
42,Congo,-0.556,0.408
43,Costa Rica,-0.381,0.422
44,Croatia,0.391,0.364
45,Cuba,-0.221,0.318
46,Curaçao,-0.804,0.398
47,Cyprus,-0.545,0.435
48,Czechia,0.411,0.409
49,Côte d'Ivoire,-0.742,0.415
50,Dem. Rep. Congo,-0.357,0.394
51,Denmark,0.081,0.386
52,Djibouti,-0.074,0.498
53,Dominica,-0.276,0.378
54,Dominican Rep,-0.303,0.414
55,Ecuador,,
56,Egypt,-0.598,0.424
57,El Salvador,-0.338,0.423
58,Eq. Guinea,-0.443,0.498
59,Eritrea,-0.306,0.516
60,Estonia,0.167,0.341
61,Ethiopia,-0.104,0.4
62,Faeroe Is,-0.241,0.502
63,Falkland Is,-0.572,0.862
64,Fiji,0.063,0.75
65,Finland,-0.026,0.273
66,Fr. Polynesia,-0.564,0.439
67,Fr. S. Antarctic Lands,,
68,France,0.263,0.284
69,French Guiana,-0.635,0.321
70,Gabon,-0.457,0.472
71,Gambia,-0.29,0.257
72,Gaza Strip,-0.698,0.5
73,Georgia,-1.333,0.467
74,Germany,0.251,0.393
75,Ghana,-0.398,0.606
76,Greece,-0.246,0.371
77,Greenland,-1.804,1.089
78,Guadeloupe,-0.374,0.421
79,Guam,,
80,Guatemala,-0.363,0.42
81,Guernsey,0.211,0.355
82,Guinea,-0.231,0.44
83,Guinea-Bissau,-0.288,0.287
84,Guyana,-0.564,0.349
85,Haiti,-0.308,0.397
86,Heard I. and McDonald Is,,
87,Honduras,-0.31,0.422
88,Hong Kong,-0.424,0.407
89,Hungary,0.193,0.369
90,Iceland,-0.525,0.445
91,India,-0.006,0.274
92,Indonesia,-0.508,0.344
93,Iran,-0.801,0.42
94,Iraq,-0.974,0.426
95,Ireland,0.099,0.377
96,Isle of Man,0.373,0.388
97,Israel,-0.729,0.352
98,Italy,0.208,0.341
99,Jamaica,-0.276,0.275
100,Japan,-0.7,0.224
101,Jersey,0.211,0.355
102,Jordan,-0.771,0.362
103,Kazakhstan,-1.988,0.445
104,Kenya,-0.071,0.332
105,Kuwait,-0.844,0.568
106,Kyrgyzstan,-1.351,0.276
107,Laos,-0.241,0.321
108,Latvia,0.21,0.389
109,Lebanon,-0.761,0.35
110,Lesotho,-0.883,0.386
111,Liberia,-0.346,0.546
112,Libya,-0.272,0.336
113,Liechtenstein,0.551,0.296
114,Lithuania,0.179,0.407
115,Luxembourg,0.202,0.356
116,Macao,-0.423,0.409
117,Macedonia,-0.035,0.337
