,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1.74,2.18,4.78,7.70,11.96,15.08,16.57,16.64,14.32,10.36,5.90,3.00
1,0.38,0.27,0.21,0.22,0.26,0.34,0.36,0.31,0.26,0.22,0.31,0.43
