,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,3.64,6.01,9.61,12.88,15.37,17.62,18.07,17.79,16.67,13.26,8.80,4.93
1,0.24,0.33,0.35,0.28,0.23,0.25,0.33,0.43,0.31,0.24,0.26,0.22
