Country,Anomaly
Afghanistan,
Albania,-0.99
Algeria,-0.267
American Samoa,
Andorra,-0.38299999999999995
Angola,
Anguilla,-0.7859999999999999
Antarctica,
Antigua and Barbuda,-0.759
Argentina,-0.621
Armenia,-0.49700000000000005
Aruba,-0.8109999999999999
Australia,
Austria,-1.285
Azerbaijan,-0.625
Bahamas,-1.23
Bahrain,
Bangladesh,
Barbados,-0.745
Belarus,-0.9690000000000001
Belgium,-0.982
Belize,-1.182
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,-1.182
Botswana,-0.574
Brazil,
British Virgin Islands,-0.807
Bulgaria,-1.014
Burkina Faso,
Burundi,
Cambodia,-0.873
Cameroon,
Canada,-0.22899999999999998
Cape Verde,-0.515
Cayman Islands,-1.173
Central African Republic,
Chad,
Chile,-0.7140000000000001
China,-0.745
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,-1.2329999999999999
Cuba,-1.3980000000000001
Curaçao,-0.812
Cyprus,0.023
Czechia,-1.483
Côte d'Ivoire,-0.608
Dem. Rep. Congo,-0.6579999999999999
Denmark,-1.226
Djibouti,
Dominica,-0.748
Dominican Republic,-0.9279999999999999
Ecuador,
Egypt,-0.005
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,-0.6990000000000001
eSwatini,-0.5820000000000001
Ethiopia,
Falkland Islands (Islas Malvinas),-0.597
Faroe Islands,-0.7659999999999999
Fiji,
Finland,-1.126
France,-0.611
French Guiana,-0.737
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,-0.475
Germany,-1.315
Ghana,
Greece,-0.867
Greenland,-1.3840000000000001
Grenada,-0.745
Guadeloupe,-0.775
Guam,
Guatemala,
Guernsey,-0.302
Guinea,
Guinea-Bissau,
Guyana,-0.669
Haiti,-1.0
Heard Island and McDonald Islands,
Honduras,-1.052
Hong Kong,-1.192
Hungary,-1.46
Iceland,-0.718
India,
Indonesia,
Iran,-0.539
Iraq,-0.243
Ireland,-0.517
Isle of Man,-0.545
Israel,0.145
Italy,-0.807
Jamaica,-1.236
Japan,-0.72
Jersey,-0.302
Jordan,0.028999999999999998
Kazakhstan,-0.852
Kenya,
Kiribati,
Kuwait,-0.198
Kyrgyzstan,
Laos,-0.892
Latvia,-0.8
Lebanon,0.057
Lesotho,-0.6759999999999999
Liberia,
Libya,-0.29600000000000004
Liechtenstein,-1.0390000000000001
Lithuania,-1.0170000000000001
Luxembourg,-1.026
Macau,-1.182
Macedonia,-1.044
Madagascar,
Malawi,
Malaysia,
Mali,
Malta,-0.382
Martinique,-0.7759999999999999
Mauritania,
Mauritius,
Mayotte,-0.741
Mexico,-0.847
Micronesia,
Moldova,-0.95
Monaco,-0.642
Mongolia,-0.905
Montenegro,-1.084
Montserrat,-0.775
Morocco,-0.172
Mozambique,
Myanmar,-0.988
Namibia,
Nepal,
Netherlands,-1.1059999999999999
New Caledonia,-0.738
New Zealand,-0.521
Nicaragua,
Niger,
Nigeria,
Niue,
North Korea,-0.322
Northern Mariana Islands,
Norway,-1.2429999999999999
Oman,
Pakistan,
Palau,
Palestina,-0.653
Panama,
Papua New Guinea,
Paraguay,-0.68
Peru,
Philippines,
Poland,-1.3519999999999999
Portugal,0.053
Puerto Rico,-0.852
Qatar,
Reunion,
Romania,-1.226
Russia,-0.264
Rwanda,
Saint Barthélemy,-0.7340000000000001
Saint Kitts and Nevis,-0.767
Saint Lucia,-0.758
Saint Martin,-0.7859999999999999
Saint Pierre and Miquelon,-0.7859999999999999
Saint Vincent and the Grenadines,-0.764
Samoa,
San Marino,-1.0190000000000001
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,-1.2990000000000002
Seychelles,
Sierra Leone,
Singapore,
Sint Maarten,-0.7859999999999999
Slovakia,-1.495
Slovenia,-1.2109999999999999
Solomon Islands,
Somalia,
South Africa,-0.596
South Georgia and the South Sandwich Isla,
South Korea,-0.716
Spain,-0.21600000000000003
Sri Lanka,
Sudan,
Suriname,
Svalbard and Jan Mayen,-0.767
Sweden,-1.359
Switzerland,-0.935
Syria,-0.149
Taiwan,-1.149
Tajikistan,
Tanzania,-0.705
Thailand,-0.897
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,-0.737
Tunisia,-0.304
Turkey,-0.45
Turkmenistan,-0.8340000000000001
Turks and Caicas Islands,-1.02
Uganda,
Ukraine,-1.063
United Arab Emirates,
United Kingdom,-0.669
United States of America,-0.451
Uruguay,-0.491
Uzbekistan,-0.93
Venezuela,-0.774
Vietnam,-0.8740000000000001
Virgin Islands,-0.8140000000000001
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Åland,-1.121
Global Land,-0.5539999999999999
