Country,Anomaly
Afghanistan,0.24600000000000002
Albania,-0.8140000000000001
Algeria,-0.5
American Samoa,
Andorra,-1.284
Angola,-0.486
Anguilla,-0.585
Antarctica,
Antigua and Barbuda,-0.479
Argentina,-0.268
Armenia,-0.008
Aruba,-0.418
Australia,0.24600000000000002
Austria,-1.046
Azerbaijan,0.231
Bahamas,-0.466
Bahrain,0.055999999999999994
Bangladesh,-0.48700000000000004
Barbados,-0.41
Belarus,-1.7919999999999998
Belgium,-1.426
Belize,-0.953
Benin,-0.473
Bhutan,-0.428
Bolivia,
Bosnia and Herzegovina,-0.98
Botswana,-0.6
Brazil,
British Virgin Islands,-0.5920000000000001
Bulgaria,-1.157
Burkina Faso,-0.43
Burundi,
Cambodia,-0.298
Cameroon,-0.45899999999999996
Canada,-0.655
Cape Verde,-0.11699999999999999
Cayman Islands,-0.6559999999999999
Central African Republic,
Chad,
Chile,-0.46299999999999997
China,-0.44
Colombia,
Comoros,
Congo,-0.674
Costa Rica,
Croatia,-1.053
Cuba,-0.483
Curaçao,-0.595
Cyprus,-0.63
Czechia,-1.3219999999999998
Côte d'Ivoire,-1.19
Dem. Rep. Congo,-0.612
Denmark,-1.581
Djibouti,-0.021
Dominica,-0.41
Dominican Republic,-0.426
Ecuador,
Egypt,-0.534
El Salvador,-0.899
Equatorial Guinea,-0.509
Eritrea,-0.126
Estonia,-2.211
eSwatini,-0.379
Ethiopia,-0.13699999999999998
Falkland Islands (Islas Malvinas),-0.996
Faroe Islands,-1.268
Fiji,
Finland,-2.215
France,-1.335
French Guiana,-0.48
French Polynesia,-0.941
French Southern and Antarctic Lands,
Gabon,-0.517
Gambia,-0.28
Georgia,-0.07200000000000001
Germany,-1.365
Ghana,-0.575
Greece,-0.8590000000000001
Greenland,-0.981
Grenada,-0.37
Guadeloupe,-0.467
Guam,
Guatemala,-0.955
Guernsey,-1.321
Guinea,-0.431
Guinea-Bissau,-0.33799999999999997
Guyana,-0.319
Haiti,-0.401
Heard Island and McDonald Islands,
Honduras,-0.861
Hong Kong,-0.391
Hungary,-1.367
Iceland,-1.148
India,-0.391
Indonesia,-0.444
Iran,0.298
Iraq,-0.049
Ireland,-0.894
Isle of Man,-1.011
Israel,-0.413
Italy,-0.825
Jamaica,-0.494
Japan,-0.679
Jersey,-1.321
Jordan,-0.43200000000000005
Kazakhstan,0.922
Kenya,
Kiribati,
Kuwait,0.063
Kyrgyzstan,0.73
Laos,-0.304
Latvia,-2.064
Lebanon,-0.457
Lesotho,-0.537
Liberia,
Libya,-0.455
Liechtenstein,-0.924
Lithuania,-1.882
Luxembourg,-1.3969999999999998
Macau,-0.40299999999999997
Macedonia,-0.94
Madagascar,-0.42100000000000004
Malawi,
Malaysia,-0.319
Mali,-0.37
Malta,-0.332
Martinique,-0.42
Mauritania,-0.313
Mauritius,-0.40700000000000003
Mayotte,
Mexico,-0.76
Micronesia,
Moldova,-1.38
Monaco,-1.276
Mongolia,-0.531
Montenegro,-0.887
Montserrat,-0.478
Morocco,-0.632
Mozambique,
Myanmar,-0.505
Namibia,-0.6459999999999999
Nepal,-0.496
Netherlands,-1.4580000000000002
New Caledonia,-0.785
New Zealand,-0.9329999999999999
Nicaragua,-0.805
Niger,-0.305
Nigeria,-0.435
Niue,
North Korea,-0.6609999999999999
Northern Mariana Islands,
Norway,-1.5290000000000001
Oman,-0.182
Pakistan,-0.321
Palau,
Palestina,-0.614
Panama,
Papua New Guinea,
Paraguay,-0.003
Peru,
Philippines,-0.368
Poland,-1.484
Portugal,-0.9129999999999999
Puerto Rico,-0.535
Qatar,0.039
Reunion,
Romania,-1.335
Russia,-0.644
Rwanda,
Saint Barthélemy,-0.6940000000000001
Saint Kitts and Nevis,-0.483
Saint Lucia,-0.41100000000000003
Saint Martin,-0.585
Saint Pierre and Miquelon,-1.329
Saint Vincent and the Grenadines,-0.405
Samoa,
San Marino,-0.905
Sao Tome and Principe,-0.902
Saudi Arabia,-0.153
Senegal,-0.29100000000000004
Serbia,-1.291
Seychelles,
Sierra Leone,-0.46799999999999997
Singapore,-0.361
Sint Maarten,-0.585
Slovakia,-1.3730000000000002
Slovenia,-0.9840000000000001
Solomon Islands,
Somalia,-0.157
South Africa,-0.58
South Georgia and the South Sandwich Isla,
South Korea,-0.545
Spain,-0.9990000000000001
Sri Lanka,-0.154
Sudan,-0.29100000000000004
Suriname,-0.335
Svalbard and Jan Mayen,-1.078
Sweden,-1.86
Switzerland,-1.207
Syria,-0.38
Taiwan,-0.38799999999999996
Tajikistan,0.502
Tanzania,
Thailand,-0.28
Timor-Leste,-0.44
Togo,-0.524
Tonga,
Trinidad and Tobago,-0.311
Tunisia,-0.45299999999999996
Turkey,-0.601
Turkmenistan,0.963
Turks and Caicas Islands,-0.369
Uganda,
Ukraine,-1.3430000000000002
United Arab Emirates,-0.015
United Kingdom,-1.158
United States of America,-0.664
Uruguay,-0.091
Uzbekistan,1.262
Venezuela,-0.43
Vietnam,-0.317
Virgin Islands,-0.551
Western Sahara,-0.415
Yemen,-0.051
Zambia,
Zimbabwe,-0.513
Åland,-2.137
Global Land,-0.41700000000000004
