Country,Anomaly
Afghanistan,1.245
Albania,0.905
Algeria,1.103
American Samoa,0.706
Andorra,0.963
Angola,0.971
Anguilla,0.564
Antarctica,0.517
Antigua and Barbuda,0.6679999999999999
Argentina,0.237
Armenia,1.262
Aruba,0.358
Australia,0.495
Austria,1.219
Azerbaijan,1.217
Bahamas,0.547
Bahrain,1.301
Bangladesh,0.38
Barbados,0.63
Belarus,1.49
Belgium,1.212
Belize,0.267
Benin,0.7170000000000001
Bhutan,0.534
Bolivia,0.35
Bosnia and Herzegovina,1.123
Botswana,0.715
Brazil,0.698
British Virgin Islands,0.574
Bulgaria,1.011
Burkina Faso,0.7340000000000001
Burundi,0.612
Cambodia,0.5920000000000001
Cameroon,0.639
Canada,1.465
Cape Verde,0.885
Cayman Islands,0.45
Central African Republic,0.6679999999999999
Chad,0.593
Chile,0.259
China,0.982
Colombia,0.488
Comoros,0.7809999999999999
Congo,0.489
Costa Rica,0.423
Croatia,1.2229999999999999
Cuba,0.43700000000000006
Curaçao,0.34299999999999997
Cyprus,0.695
Czechia,1.228
Côte d'Ivoire,0.581
Dem. Rep. Congo,0.59
Denmark,1.149
Djibouti,0.8590000000000001
Dominica,0.62
Dominican Republic,0.591
Ecuador,0.455
Egypt,0.516
El Salvador,0.366
Equatorial Guinea,0.6459999999999999
Eritrea,0.7829999999999999
Estonia,1.435
eSwatini,0.636
Ethiopia,0.711
Falkland Islands (Islas Malvinas),0.483
Faroe Islands,0.48100000000000004
Fiji,0.752
Finland,1.02
France,1.0170000000000001
French Guiana,0.535
French Polynesia,0.579
French Southern and Antarctic Lands,0.457
Gabon,0.657
Gambia,0.938
Georgia,1.149
Germany,1.2890000000000001
Ghana,0.736
Greece,0.7929999999999999
Greenland,0.758
Grenada,0.632
Guadeloupe,0.546
Guam,0.665
Guatemala,0.254
Guernsey,0.996
Guinea,0.8540000000000001
Guinea-Bissau,0.88
Guyana,0.59
Haiti,0.5
Heard Island and McDonald Islands,0.45399999999999996
Honduras,0.386
Hong Kong,0.672
Hungary,1.127
Iceland,0.35600000000000004
India,0.48700000000000004
Indonesia,0.536
Iran,1.361
Iraq,1.094
Ireland,0.8029999999999999
Isle of Man,0.8290000000000001
Israel,0.679
Italy,1.0390000000000001
Jamaica,0.43799999999999994
Japan,0.743
Jersey,0.996
Jordan,0.716
Kazakhstan,1.365
Kenya,0.594
Kiribati,0.622
Kuwait,1.192
Kyrgyzstan,1.284
Laos,0.524
Latvia,1.515
Lebanon,0.78
Lesotho,0.665
Liberia,0.774
Libya,0.8029999999999999
Liechtenstein,1.1320000000000001
Lithuania,1.5419999999999998
Luxembourg,1.1840000000000002
Macau,0.629
Macedonia,0.877
Madagascar,0.727
Malawi,0.6559999999999999
Malaysia,0.58
Mali,0.8340000000000001
Malta,1.167
Martinique,0.524
Mauritania,1.033
Mauritius,0.679
Mayotte,0.674
Mexico,0.315
Micronesia,0.61
Moldova,1.151
Monaco,0.981
Mongolia,1.619
Montenegro,1.016
Montserrat,0.551
Morocco,1.083
Mozambique,0.688
Myanmar,0.44299999999999995
Namibia,1.01
Nepal,0.47
Netherlands,1.273
New Caledonia,0.782
New Zealand,0.71
Nicaragua,0.406
Niger,0.642
Nigeria,0.674
Niue,0.547
North Korea,1.063
Northern Mariana Islands,0.5429999999999999
Norway,1.004
Oman,0.87
Pakistan,0.893
Palau,0.601
Palestina,0.728
Panama,0.433
Papua New Guinea,0.6579999999999999
Paraguay,0.43799999999999994
Peru,0.402
Philippines,0.667
Poland,1.3769999999999998
Portugal,0.747
Puerto Rico,0.718
Qatar,1.217
Reunion,0.705
Romania,1.0659999999999998
Russia,0.77
Rwanda,0.628
Saint Barthélemy,0.599
Saint Kitts and Nevis,0.674
Saint Lucia,0.615
Saint Martin,0.564
Saint Pierre and Miquelon,0.903
Saint Vincent and the Grenadines,0.606
Samoa,0.65
San Marino,1.186
Sao Tome and Principe,0.514
Saudi Arabia,1.0090000000000001
Senegal,0.95
Serbia,1.033
Seychelles,0.649
Sierra Leone,0.836
Singapore,0.605
Sint Maarten,0.564
Slovakia,1.109
Slovenia,1.3130000000000002
Solomon Islands,0.662
Somalia,0.67
South Africa,0.6809999999999999
South Georgia and the South Sandwich Isla,0.8220000000000001
South Korea,0.8340000000000001
Spain,0.8959999999999999
Sri Lanka,0.579
Sudan,0.6559999999999999
Suriname,0.627
Svalbard and Jan Mayen,1.217
Sweden,1.123
Switzerland,1.0270000000000001
Syria,0.835
Taiwan,0.812
Tajikistan,1.147
Tanzania,0.5
Thailand,0.493
Timor-Leste,0.373
Togo,0.731
Tonga,0.759
Trinidad and Tobago,0.596
Tunisia,1.327
Turkey,0.897
Turkmenistan,1.3719999999999999
Turks and Caicas Islands,0.491
Uganda,0.665
Ukraine,1.285
United Arab Emirates,1.136
United Kingdom,0.862
United States of America,0.976
Uruguay,0.423
Uzbekistan,1.268
Venezuela,0.531
Vietnam,0.601
Virgin Islands,0.718
Western Sahara,1.068
Yemen,0.902
Zambia,0.648
Zimbabwe,0.565
Åland,1.2590000000000001
Global Land,0.8029999999999999
