,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-0.36,1.46,4.71,9.95,15.08,18.87,20.91,20.78,16.98,11.59,6.92,2.06
1,0.60,0.48,0.43,0.49,0.51,0.52,0.53,0.49,0.41,0.46,0.56,0.62
