,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0.96,2.45,5.76,10.52,15.31,19.54,22.75,22.76,18.83,13.56,8.25,3.18
1,0.34,0.34,0.33,0.33,0.33,0.34,0.36,0.36,0.33,0.33,0.34,0.34
