,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,3.70,3.81,5.38,7.16,10.00,12.61,13.94,13.89,12.22,9.61,6.22,4.64
1,0.19,0.20,0.18,0.18,0.19,0.18,0.20,0.20,0.17,0.19,0.19,0.18
