,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-2.06,-0.04,4.57,10.35,15.74,19.67,21.32,20.21,16.63,10.99,4.52,-0.38
1,0.09,0.08,0.07,0.06,0.07,0.09,0.08,0.07,0.07,0.07,0.06,0.08
