,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,26.46,26.64,26.72,26.51,26.19,25.69,25.19,25.11,25.39,25.56,26.01,26.20
1,0.36,0.36,0.36,0.35,0.35,0.36,0.36,0.36,0.37,0.35,0.36,0.36
