,Country,Anomaly,Unc.
0,Afghanistan,1.021,0.20199999999999999
1,Albania,0.48700000000000004,0.1
2,Algeria,1.111,0.11
3,American Samoa,0.5660000000000001,0.08800000000000001
4,Andorra,0.8170000000000001,0.079
5,Angola,0.565,0.605
6,Anguilla,0.452,0.174
7,Antarctica,1.0,0.21899999999999997
8,Antigua and Barbuda,0.42200000000000004,0.08900000000000001
9,Argentina,-0.114,0.09
10,Armenia,-0.391,0.099
11,Aruba,0.21,0.17600000000000002
12,Australia,0.958,0.07200000000000001
13,Austria,0.722,0.075
14,Azerbaijan,-0.08,0.113
15,Bahamas,0.16699999999999998,0.14400000000000002
16,Bahrain,0.447,0.29
17,Bangladesh,0.42100000000000004,0.131
18,Barbados,0.489,0.094
19,Belarus,0.521,0.105
20,Belgium,0.631,0.1
21,Belize,0.272,0.113
22,Benin,0.667,0.139
23,Bhutan,0.612,0.131
24,Bolivia,0.325,0.196
25,Bosnia and Herzegovina,0.496,0.07200000000000001
26,Botswana,0.272,0.22399999999999998
27,Brazil,0.38299999999999995,0.10800000000000001
28,British Virgin Islands,0.413,0.11800000000000001
29,Bulgaria,0.132,0.08900000000000001
30,Burkina Faso,0.5770000000000001,0.095
31,Burundi,0.732,0.099
32,Cambodia,0.305,0.122
33,Cameroon,0.397,0.174
34,Canada,1.161,0.092
35,Cape Verde,0.627,0.256
36,Cayman Islands,0.455,0.145
37,Central African Republic,0.32299999999999995,0.07400000000000001
38,Chad,0.247,0.22699999999999998
39,Chile,0.155,0.13
40,China,0.33,0.094
41,Colombia,0.337,0.142
42,Comoros,0.674,0.124
43,Congo,0.547,0.109
44,Costa Rica,0.228,0.20800000000000002
45,Croatia,0.557,0.083
46,Cuba,0.345,0.11800000000000001
47,Curaçao,0.298,0.14400000000000002
48,Cyprus,0.013999999999999999,0.075
49,Czechia,0.7,0.127
50,Côte d'Ivoire,0.526,0.115
51,Dem. Rep. Congo,0.61,0.129
52,Denmark,0.8240000000000001,0.095
53,Djibouti,0.858,0.514
54,Dominica,0.431,0.08
55,Dominican Republic,0.389,0.225
56,Ecuador,0.337,0.134
57,Egypt,0.28600000000000003,0.127
58,El Salvador,0.387,0.25
59,Equatorial Guinea,0.562,0.135
60,Eritrea,0.392,0.20600000000000002
61,Estonia,0.978,0.087
62,eSwatini,0.626,0.175
63,Ethiopia,0.705,0.08800000000000001
64,Falkland Islands (Islas Malvinas),0.281,0.32899999999999996
65,Faroe Islands,0.12300000000000001,0.136
66,Fiji,0.925,0.091
67,Finland,0.518,0.092
68,France,0.722,0.098
69,French Guiana,0.275,0.121
70,French Polynesia,0.475,0.423
71,French Southern and Antarctic Lands,-0.43200000000000005,1.227
72,Gabon,0.502,0.145
73,Gambia,0.82,0.124
74,Georgia,-0.41600000000000004,0.081
75,Germany,0.8290000000000001,0.08
76,Ghana,0.628,0.09699999999999999
77,Greece,0.303,0.084
78,Greenland,0.449,0.307
79,Grenada,0.516,0.10400000000000001
80,Guadeloupe,0.402,0.166
81,Guam,0.545,0.311
82,Guatemala,0.358,0.142
83,Guernsey,0.38799999999999996,0.124
84,Guinea,0.721,0.094
85,Guinea-Bissau,0.742,0.124
86,Guyana,0.36,0.10300000000000001
87,Haiti,0.429,0.21899999999999997
88,Heard Island and McDonald Islands,0.005,1.14
89,Honduras,0.473,0.11199999999999999
90,Hong Kong,-0.14400000000000002,0.057999999999999996
91,Hungary,0.359,0.1
92,Iceland,-0.31,0.113
93,India,0.46299999999999997,0.08900000000000001
94,Indonesia,0.449,0.12
95,Iran,0.616,0.086
96,Iraq,-0.034,0.134
97,Ireland,0.218,0.102
98,Isle of Man,0.226,0.139
99,Israel,0.063,0.10099999999999999
100,Italy,0.7929999999999999,0.102
101,Jamaica,0.5,0.1
102,Japan,-0.29,0.08800000000000001
103,Jersey,0.38799999999999996,0.124
104,Jordan,0.085,0.113
105,Kazakhstan,0.74,0.105
106,Kenya,0.7979999999999999,0.115
107,Kiribati,0.33799999999999997,0.19899999999999998
108,Kuwait,0.19399999999999998,0.209
109,Kyrgyzstan,0.742,0.125
110,Laos,0.222,0.15
111,Latvia,0.902,0.105
112,Lebanon,-0.071,0.102
113,Lesotho,0.34299999999999997,0.133
114,Liberia,0.6890000000000001,0.11599999999999999
115,Libya,0.8420000000000001,0.151
116,Liechtenstein,0.961,0.10099999999999999
117,Lithuania,0.778,0.11199999999999999
118,Luxembourg,0.7040000000000001,0.106
119,Macau,-0.14,0.077
120,Macedonia,0.406,0.12
121,Madagascar,0.654,0.092
122,Malawi,0.735,0.175
123,Malaysia,0.41700000000000004,0.11
124,Mali,0.7440000000000001,0.096
125,Malta,1.119,0.161
126,Martinique,0.382,0.16899999999999998
127,Mauritania,0.72,0.159
128,Mauritius,0.602,0.08
129,Mayotte,0.527,0.083
130,Mexico,0.004,0.10400000000000001
131,Micronesia,0.579,0.222
132,Moldova,-0.243,0.086
133,Monaco,0.747,0.07
134,Mongolia,0.511,0.111
135,Montenegro,0.504,0.071
136,Montserrat,0.406,0.17
137,Morocco,0.693,0.09300000000000001
138,Mozambique,0.664,0.132
139,Myanmar,0.313,0.146
140,Namibia,0.604,0.17
141,Nepal,0.49,0.135
142,Netherlands,0.7390000000000001,0.11
143,New Caledonia,0.927,0.19699999999999998
144,New Zealand,0.419,0.213
145,Nicaragua,0.452,0.08900000000000001
146,Niger,0.645,0.149
147,Nigeria,0.535,0.132
148,Niue,0.613,0.146
149,North Korea,0.51,0.099
150,Northern Mariana Islands,0.42,0.29600000000000004
151,Norway,0.09699999999999999,0.081
152,Oman,0.259,0.212
153,Pakistan,0.79,0.14400000000000002
154,Palau,0.562,0.29
155,Palestina,0.555,0.111
156,Panama,0.203,0.11199999999999999
157,Papua New Guinea,0.787,0.10800000000000001
158,Paraguay,-0.131,0.13699999999999998
159,Peru,0.29100000000000004,0.161
160,Philippines,0.8029999999999999,0.134
161,Poland,0.718,0.084
162,Portugal,0.5489999999999999,0.09699999999999999
163,Puerto Rico,0.429,0.126
164,Qatar,0.444,0.157
165,Reunion,0.524,0.11800000000000001
166,Romania,0.12,0.08
167,Russia,0.703,0.092
168,Rwanda,0.688,0.111
169,Saint Barthélemy,0.39799999999999996,0.138
170,Saint Kitts and Nevis,0.392,0.078
171,Saint Lucia,0.44799999999999995,0.109
172,Saint Martin,0.452,0.174
173,Saint Pierre and Miquelon,0.326,0.125
174,Saint Vincent and the Grenadines,0.42700000000000005,0.122
175,Samoa,0.541,0.07
176,San Marino,0.7490000000000001,0.114
177,Sao Tome and Principe,0.5479999999999999,0.145
178,Saudi Arabia,0.435,0.158
179,Senegal,0.8029999999999999,0.113
180,Serbia,0.42,0.08199999999999999
181,Seychelles,0.597,0.111
182,Sierra Leone,0.6729999999999999,0.121
183,Singapore,0.392,0.152
184,Sint Maarten,0.452,0.174
185,Slovakia,0.365,0.095
186,Slovenia,0.652,0.076
187,Solomon Islands,0.8240000000000001,0.21899999999999997
188,Somalia,0.7559999999999999,0.179
189,South Africa,0.337,0.095
190,South Georgia and the South Sandwich Isla,0.133,0.515
191,South Korea,0.217,0.10300000000000001
192,Spain,0.7,0.09699999999999999
193,Sri Lanka,0.489,0.113
194,Sudan,0.154,0.20600000000000002
195,Suriname,0.327,0.24600000000000002
196,Svalbard and Jan Mayen,-1.9409999999999998,0.23199999999999998
197,Sweden,0.649,0.075
198,Switzerland,0.871,0.11199999999999999
199,Syria,-0.233,0.125
200,Taiwan,0.158,0.12300000000000001
201,Tajikistan,0.816,0.183
202,Tanzania,0.7120000000000001,0.069
203,Thailand,0.182,0.11
204,Timor-Leste,0.762,0.29100000000000004
205,Togo,0.637,0.102
206,Tonga,1.088,0.135
207,Trinidad and Tobago,0.473,0.133
208,Tunisia,1.234,0.07200000000000001
209,Turkey,-0.406,0.114
210,Turkmenistan,0.7859999999999999,0.076
211,Turks and Caicas Islands,0.205,0.33399999999999996
212,Uganda,0.623,0.079
213,Ukraine,-0.11800000000000001,0.064
214,United Arab Emirates,0.27899999999999997,0.098
215,United Kingdom,0.248,0.094
216,United States of America,0.478,0.075
217,Uruguay,-0.517,0.113
218,Uzbekistan,0.9129999999999999,0.073
219,Venezuela,0.28,0.087
220,Vietnam,0.221,0.138
221,Virgin Islands,0.408,0.098
222,Western Sahara,0.624,0.161
223,Yemen,0.7190000000000001,0.40399999999999997
224,Zambia,0.7909999999999999,0.161
225,Zimbabwe,0.48,0.121
226,Åland,0.708,0.15
227,Global Land,0.619,0.039
