,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-3.09,-0.89,5.40,13.84,20.50,25.54,27.93,25.73,19.90,11.83,4.89,-0.17
1,0.35,0.33,0.35,0.37,0.36,0.35,0.34,0.34,0.33,0.32,0.33,0.35
