,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,2.99,4.10,6.66,9.21,13.07,16.31,18.45,18.12,15.72,11.36,6.69,3.92
1,0.19,0.16,0.14,0.15,0.16,0.18,0.18,0.17,0.15,0.14,0.17,0.21
