Country,Anomaly
Afghanistan,
Albania,-0.479
Algeria,
American Samoa,
Andorra,-0.56
Angola,
Anguilla,
Antarctica,
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,-0.109
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,-0.49
Belgium,-0.37200000000000005
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,-0.32
Botswana,
Brazil,
British Virgin Islands,
Bulgaria,-0.54
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,-0.261
Cuba,
Curaçao,
Cyprus,
Czechia,-0.099
Côte d'Ivoire,
Dem. Rep. Congo,
Denmark,-0.44799999999999995
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,-0.865
eSwatini,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,-0.8390000000000001
Fiji,
Finland,-1.008
France,-0.449
French Guiana,
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,
Germany,-0.22699999999999998
Ghana,
Greece,-0.643
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,-0.456
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Honduras,
Hong Kong,
Hungary,-0.27
Iceland,
India,
Indonesia,
Iran,
Iraq,
Ireland,-0.767
Isle of Man,-0.596
Israel,
Italy,-0.413
Jamaica,
Japan,
Jersey,-0.456
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,-0.5820000000000001
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,-0.11599999999999999
Lithuania,-0.326
Luxembourg,-0.374
Macau,
Macedonia,-0.496
Madagascar,
Malawi,
Malaysia,
Mali,
Malta,-0.475
Martinique,
Mauritania,
Mauritius,
Mayotte,
Mexico,
Micronesia,
Moldova,-0.597
Monaco,-0.475
Mongolia,
Montenegro,-0.389
Montserrat,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,-0.42700000000000005
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
North Korea,
Northern Mariana Islands,
Norway,-0.77
Oman,
Pakistan,
Palau,
Palestina,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,-0.10300000000000001
Portugal,-0.8079999999999999
Puerto Rico,
Qatar,
Reunion,
Romania,-0.478
Russia,
Rwanda,
Saint Barthélemy,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,-1.048
Saint Vincent and the Grenadines,
Samoa,
San Marino,-0.341
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,-0.235
Seychelles,
Sierra Leone,
Singapore,
Sint Maarten,
Slovakia,-0.261
Slovenia,-0.20199999999999999
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Isla,
South Korea,
Spain,-0.703
Sri Lanka,
Sudan,
Suriname,
Svalbard and Jan Mayen,-0.753
Sweden,-0.7170000000000001
Switzerland,-0.321
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,-0.59
Turkey,
Turkmenistan,
Turks and Caicas Islands,
Uganda,
Ukraine,-0.6609999999999999
United Arab Emirates,
United Kingdom,-0.67
United States of America,
Uruguay,
Uzbekistan,
Venezuela,
Vietnam,
Virgin Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Åland,-0.927
Global Land,-0.9009999999999999
