Country,Anomaly
Afghanistan,1.035
Albania,1.2009999999999998
Algeria,1.206
American Samoa,0.718
Andorra,0.971
Angola,0.8240000000000001
Anguilla,0.6709999999999999
Antarctica,0.855
Antigua and Barbuda,0.779
Argentina,0.542
Armenia,1.064
Aruba,0.55
Australia,0.652
Austria,1.1059999999999999
Azerbaijan,1.166
Bahamas,0.47600000000000003
Bahrain,1.253
Bangladesh,0.627
Barbados,0.755
Belarus,1.24
Belgium,0.7070000000000001
Belize,0.376
Benin,0.902
Bhutan,0.846
Bolivia,0.573
Bosnia and Herzegovina,1.275
Botswana,0.621
Brazil,0.8440000000000001
British Virgin Islands,0.659
Bulgaria,1.151
Burkina Faso,0.888
Burundi,0.9690000000000001
Cambodia,0.71
Cameroon,0.802
Canada,1.564
Cape Verde,1.0490000000000002
Cayman Islands,0.428
Central African Republic,0.867
Chad,1.0070000000000001
Chile,0.46399999999999997
China,0.8690000000000001
Colombia,0.6940000000000001
Comoros,0.812
Congo,0.723
Costa Rica,0.452
Croatia,1.232
Cuba,0.452
Curaçao,
Cyprus,1.0290000000000001
Czechia,0.904
Côte d'Ivoire,
Dem. Rep. Congo,0.7290000000000001
Denmark,0.563
Djibouti,1.0090000000000001
Dominica,0.7659999999999999
Dominican Republic,0.7040000000000001
Ecuador,0.607
Egypt,1.058
El Salvador,0.319
Equatorial Guinea,0.743
Eritrea,1.101
Estonia,1.137
eSwatini,0.373
Ethiopia,1.073
Falkland Islands (Islas Malvinas),0.597
Faroe Islands,0.5670000000000001
Fiji,0.6779999999999999
Finland,1.123
France,0.868
French Guiana,0.856
French Polynesia,0.615
French Southern and Antarctic Lands,0.75
Gabon,0.7170000000000001
Gambia,0.95
Georgia,1.105
Germany,0.7390000000000001
Ghana,0.836
Greece,1.095
Greenland,1.501
Grenada,0.754
Guadeloupe,0.677
Guam,0.7490000000000001
Guatemala,0.276
Guernsey,0.593
Guinea,0.84
Guinea-Bissau,0.88
Guyana,0.797
Haiti,0.634
Heard Island and McDonald Islands,0.616
Honduras,0.39299999999999996
Hong Kong,0.42700000000000005
Hungary,1.135
Iceland,0.8320000000000001
India,0.625
Indonesia,0.631
Iran,1.361
Iraq,1.151
Ireland,0.513
Isle of Man,0.498
Israel,1.024
Italy,1.047
Jamaica,0.532
Japan,0.665
Jersey,0.593
Jordan,1.01
Kazakhstan,1.094
Kenya,1.12
Kiribati,0.723
Kuwait,1.256
Kyrgyzstan,1.11
Laos,0.649
Latvia,1.088
Lebanon,1.032
Lesotho,0.688
Liberia,0.897
Libya,1.083
Liechtenstein,1.002
Lithuania,1.005
Luxembourg,0.7809999999999999
Macau,0.414
Macedonia,1.209
Madagascar,0.79
Malawi,0.7859999999999999
Malaysia,0.7
Mali,1.072
Malta,1.103
Martinique,0.7040000000000001
Mauritania,1.276
Mauritius,0.91
Mayotte,0.721
Mexico,0.293
Micronesia,0.878
Moldova,1.178
Monaco,0.9440000000000001
Mongolia,0.7070000000000001
Montenegro,1.2690000000000001
Montserrat,0.6709999999999999
Morocco,1.357
Mozambique,0.733
Myanmar,0.628
Namibia,0.5529999999999999
Nepal,0.679
Netherlands,0.623
New Caledonia,0.6409999999999999
New Zealand,0.462
Nicaragua,0.418
Niger,1.175
Nigeria,0.992
Niue,0.484
North Korea,0.52
Northern Mariana Islands,0.5870000000000001
Norway,0.8859999999999999
Oman,1.095
Pakistan,0.86
Palau,0.7290000000000001
Palestina,0.78
Panama,0.578
Papua New Guinea,0.735
Paraguay,0.6459999999999999
Peru,0.575
Philippines,0.722
Poland,0.825
Portugal,1.05
Puerto Rico,0.77
Qatar,1.307
Reunion,0.777
Romania,1.169
Russia,1.361
Rwanda,1.002
Saint Barthélemy,
Saint Kitts and Nevis,0.767
Saint Lucia,0.75
Saint Martin,0.6709999999999999
Saint Pierre and Miquelon,1.244
Saint Vincent and the Grenadines,0.747
Samoa,0.7190000000000001
San Marino,1.1420000000000001
Sao Tome and Principe,0.652
Saudi Arabia,1.147
Senegal,0.93
Serbia,1.127
Seychelles,0.9359999999999999
Sierra Leone,0.82
Singapore,0.675
Sint Maarten,0.6709999999999999
Slovakia,1.002
Slovenia,1.23
Solomon Islands,0.8059999999999999
Somalia,1.026
South Africa,0.638
South Georgia and the South Sandwich Isla,0.81
South Korea,0.493
Spain,1.035
Sri Lanka,0.731
Sudan,1.155
Suriname,0.848
Svalbard and Jan Mayen,2.285
Sweden,0.7879999999999999
Switzerland,0.941
Syria,1.018
Taiwan,0.557
Tajikistan,0.8590000000000001
Tanzania,0.777
Thailand,0.659
Timor-Leste,0.385
Togo,0.838
Tonga,0.835
Trinidad and Tobago,0.775
Tunisia,1.229
Turkey,0.976
Turkmenistan,1.22
Turks and Caicas Islands,0.49200000000000005
Uganda,1.1159999999999999
Ukraine,1.341
United Arab Emirates,1.251
United Kingdom,0.5429999999999999
United States of America,0.7509999999999999
Uruguay,0.514
Uzbekistan,1.1740000000000002
Venezuela,0.747
Vietnam,0.632
Virgin Islands,0.764
Western Sahara,1.42
Yemen,1.033
Zambia,0.855
Zimbabwe,0.7879999999999999
Åland,
Global Land,0.968
