,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,23.22,24.13,25.53,26.49,26.82,26.35,26.00,25.94,25.94,25.48,24.69,23.48
1,0.12,0.12,0.12,0.11,0.10,0.12,0.12,0.11,0.11,0.11,0.10,0.12
