Country,Anomaly
Afghanistan,
Albania,-0.922
Algeria,
American Samoa,
Andorra,-0.674
Angola,
Anguilla,
Antarctica,
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,-0.684
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,-1.325
Belgium,-0.5379999999999999
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,-0.787
Botswana,
Brazil,
British Virgin Islands,
Bulgaria,-1.0490000000000002
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,-0.7290000000000001
Cuba,
Curaçao,
Cyprus,
Czechia,-0.7659999999999999
Côte d'Ivoire,
Dem. Rep. Congo,
Denmark,-0.5
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,-0.737
eSwatini,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,-0.7170000000000001
Fiji,
Finland,-0.245
France,-0.519
French Guiana,
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,
Germany,-0.628
Ghana,
Greece,-1.079
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,-0.598
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Honduras,
Hong Kong,
Hungary,-0.892
Iceland,
India,
Indonesia,
Iran,
Iraq,
Ireland,-0.825
Isle of Man,-0.7509999999999999
Israel,
Italy,-0.6729999999999999
Jamaica,
Japan,
Jersey,-0.598
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,-0.9420000000000001
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,-0.679
Lithuania,-1.1159999999999999
Luxembourg,-0.537
Macau,
Macedonia,-0.968
Madagascar,
Malawi,
Malaysia,
Mali,
Malta,-0.7559999999999999
Martinique,
Mauritania,
Mauritius,
Mayotte,
Mexico,
Micronesia,
Moldova,-1.163
Monaco,-0.43799999999999994
Mongolia,
Montenegro,-0.856
Montserrat,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,-0.581
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
North Korea,
Northern Mariana Islands,
Norway,-0.318
Oman,
Pakistan,
Palau,
Palestina,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,-1.013
Portugal,-1.0490000000000002
Puerto Rico,
Qatar,
Reunion,
Romania,-1.068
Russia,
Rwanda,
Saint Barthélemy,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,-1.653
Saint Vincent and the Grenadines,
Samoa,
San Marino,-0.66
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,-0.893
Seychelles,
Sierra Leone,
Singapore,
Sint Maarten,
Slovakia,-0.982
Slovenia,-0.655
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Isla,
South Korea,
Spain,-0.915
Sri Lanka,-1.314
Sudan,
Suriname,
Svalbard and Jan Mayen,-0.71
Sweden,-0.235
Switzerland,-0.523
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,-0.812
Turkey,
Turkmenistan,
Turks and Caicas Islands,
Uganda,
Ukraine,-1.3159999999999998
United Arab Emirates,
United Kingdom,-0.645
United States of America,-1.419
Uruguay,
Uzbekistan,
Venezuela,
Vietnam,
Virgin Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Åland,-0.28800000000000003
Global Land,-1.348
