Country,Anomaly
Afghanistan,
Albania,-0.516
Algeria,
American Samoa,
Andorra,-0.16899999999999998
Angola,
Anguilla,
Antarctica,
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,-0.327
Azerbaijan,
Bahamas,-0.522
Bahrain,
Bangladesh,
Barbados,
Belarus,-0.406
Belgium,-0.292
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,-0.40399999999999997
Botswana,
Brazil,
British Virgin Islands,
Bulgaria,-0.614
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,-0.599
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,-0.37
Cuba,
Curaçao,
Cyprus,
Czechia,-0.386
Côte d'Ivoire,
Dem. Rep. Congo,
Denmark,-0.35200000000000004
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,-0.22399999999999998
eSwatini,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,-0.43700000000000006
Fiji,
Finland,-0.265
France,-0.19
French Guiana,
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,-0.897
Germany,-0.337
Ghana,
Greece,-0.66
Greenland,-0.996
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,-0.261
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Honduras,
Hong Kong,
Hungary,-0.447
Iceland,-0.47200000000000003
India,
Indonesia,
Iran,
Iraq,
Ireland,-0.39299999999999996
Isle of Man,-0.303
Israel,
Italy,-0.312
Jamaica,
Japan,
Jersey,-0.261
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,-0.23800000000000002
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,-0.23800000000000002
Lithuania,-0.28800000000000003
Luxembourg,-0.276
Macau,
Macedonia,-0.552
Madagascar,
Malawi,
Malaysia,
Mali,
Malta,-0.381
Martinique,
Mauritania,
Mauritius,
Mayotte,
Mexico,
Micronesia,
Moldova,-0.685
Monaco,-0.134
Mongolia,-0.705
Montenegro,-0.45299999999999996
Montserrat,
Morocco,-0.501
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,-0.325
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
North Korea,
Northern Mariana Islands,
Norway,-0.29600000000000004
Oman,
Pakistan,
Palau,
Palestina,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,-0.44
Portugal,-0.426
Puerto Rico,
Qatar,
Reunion,
Romania,-0.594
Russia,
Rwanda,
Saint Barthélemy,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,-1.125
Saint Vincent and the Grenadines,
Samoa,
San Marino,-0.33299999999999996
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,-0.40700000000000003
Seychelles,
Sierra Leone,
Singapore,
Sint Maarten,
Slovakia,-0.485
Slovenia,-0.335
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Isla,
South Korea,
Spain,-0.317
Sri Lanka,-0.621
Sudan,
Suriname,
Svalbard and Jan Mayen,-0.39299999999999996
Sweden,-0.278
Switzerland,-0.22699999999999998
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,-0.349
Turkey,-0.857
Turkmenistan,
Turks and Caicas Islands,-0.6459999999999999
Uganda,
Ukraine,-0.6829999999999999
United Arab Emirates,
United Kingdom,-0.335
United States of America,-0.579
Uruguay,
Uzbekistan,
Venezuela,
Vietnam,
Virgin Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Åland,-0.26
Global Land,-0.642
