Country,Anomaly
Afghanistan,
Albania,-0.32299999999999995
Algeria,
American Samoa,
Andorra,-0.25
Angola,
Anguilla,
Antarctica,
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,-0.19
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,-0.152
Belgium,-0.28800000000000003
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,-0.237
Botswana,
Brazil,
British Virgin Islands,
Bulgaria,-0.33399999999999996
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,-0.214
Cuba,
Curaçao,
Cyprus,
Czechia,-0.175
Côte d'Ivoire,
Dem. Rep. Congo,
Denmark,-0.223
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,-0.12
eSwatini,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,-0.332
Fiji,
Finland,-0.204
France,-0.284
French Guiana,
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,
Germany,-0.217
Ghana,
Greece,
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,-0.213
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Honduras,
Hong Kong,
Hungary,-0.255
Iceland,
India,
Indonesia,
Iran,
Iraq,
Ireland,-0.451
Isle of Man,-0.259
Israel,
Italy,-0.243
Jamaica,
Japan,
Jersey,-0.213
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,-0.099
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,-0.20800000000000002
Lithuania,-0.10099999999999999
Luxembourg,-0.27899999999999997
Macau,
Macedonia,-0.33299999999999996
Madagascar,
Malawi,
Malaysia,
Mali,
Malta,-0.263
Martinique,
Mauritania,
Mauritius,
Mayotte,
Mexico,
Micronesia,
Moldova,-0.322
Monaco,-0.231
Mongolia,
Montenegro,-0.264
Montserrat,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,-0.27699999999999997
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
North Korea,
Northern Mariana Islands,
Norway,-0.256
Oman,
Pakistan,
Palau,
Palestina,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,-0.152
Portugal,-0.363
Puerto Rico,
Qatar,
Reunion,
Romania,-0.308
Russia,
Rwanda,
Saint Barthélemy,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,-0.688
Saint Vincent and the Grenadines,
Samoa,
San Marino,-0.209
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,-0.15
Seychelles,
Sierra Leone,
Singapore,
Sint Maarten,
Slovakia,-0.262
Slovenia,-0.185
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Isla,
South Korea,
Spain,-0.31
Sri Lanka,
Sudan,
Suriname,
Svalbard and Jan Mayen,-0.128
Sweden,-0.20800000000000002
Switzerland,-0.261
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicas Islands,
Uganda,
Ukraine,-0.299
United Arab Emirates,
United Kingdom,-0.409
United States of America,
Uruguay,
Uzbekistan,
Venezuela,
Vietnam,
Virgin Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Åland,-0.19
Global Land,-0.408
