,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-3.69,-1.77,2.19,7.44,12.39,16.01,17.39,16.91,13.26,8.20,3.17,-1.36
1,0.58,0.39,0.39,0.49,0.47,0.43,0.42,0.39,0.35,0.37,0.46,0.59
