,Country,Anomaly,Unc.
0,Afghanistan,-0.381,0.122
1,Albania,-0.113,0.09
2,Algeria,-0.076,0.19699999999999998
3,American Samoa,-0.40700000000000003,0.19899999999999998
4,Andorra,0.563,0.09699999999999999
5,Angola,-0.027000000000000003,0.188
6,Anguilla,-0.287,0.166
7,Antarctica,0.281,0.304
8,Antigua and Barbuda,-0.325,0.124
9,Argentina,0.01,0.092
10,Armenia,-0.601,0.152
11,Aruba,-0.23399999999999999,0.09300000000000001
12,Australia,-0.128,0.096
13,Austria,0.6729999999999999,0.063
14,Azerbaijan,-0.332,0.28
15,Bahamas,-0.084,0.256
16,Bahrain,-0.446,0.1
17,Bangladesh,-0.226,0.11199999999999999
18,Barbados,-0.248,0.083
19,Belarus,0.828,0.11
20,Belgium,0.602,0.086
21,Belize,-0.381,0.168
22,Benin,-0.245,0.154
23,Bhutan,-0.35,0.177
24,Bolivia,0.43,0.11800000000000001
25,Bosnia and Herzegovina,0.226,0.109
26,Botswana,-0.313,0.22399999999999998
27,Brazil,0.054000000000000006,0.065
28,British Virgin Islands,-0.262,0.149
29,Bulgaria,0.027000000000000003,0.08
30,Burkina Faso,-0.213,0.098
31,Burundi,-0.214,0.121
32,Cambodia,-0.17300000000000001,0.076
33,Cameroon,-0.124,0.134
34,Canada,-0.524,0.115
35,Cape Verde,-0.13699999999999998,0.184
36,Cayman Islands,-0.264,0.149
37,Central African Republic,-0.26,0.149
38,Chad,-0.349,0.297
39,Chile,-0.043,0.129
40,China,-0.312,0.065
41,Colombia,-0.16399999999999998,0.133
42,Comoros,0.135,0.188
43,Congo,-0.11699999999999999,0.13
44,Costa Rica,-0.313,0.217
45,Croatia,0.445,0.09300000000000001
46,Cuba,-0.223,0.191
47,Curaçao,-0.304,0.253
48,Cyprus,-0.642,0.172
49,Czechia,0.932,0.08
50,Côte d'Ivoire,-0.23800000000000002,0.102
51,Dem. Rep. Congo,-0.155,0.115
52,Denmark,0.787,0.081
53,Djibouti,-0.469,0.135
54,Dominica,-0.289,0.09
55,Dominican Republic,-0.042,0.122
56,Ecuador,-0.243,0.102
57,Egypt,-0.737,0.20199999999999999
58,El Salvador,-0.316,0.201
59,Equatorial Guinea,-0.062,0.21899999999999997
60,Eritrea,-0.563,0.124
61,Estonia,0.665,0.079
62,eSwatini,-0.193,0.122
63,Ethiopia,-0.386,0.132
64,Falkland Islands (Islas Malvinas),0.049,0.18100000000000002
65,Faroe Islands,-0.11900000000000001,0.361
66,Fiji,-0.281,0.10400000000000001
67,Finland,1.141,0.076
68,France,0.5,0.095
69,French Guiana,-0.155,0.10400000000000001
70,French Polynesia,-0.209,0.192
71,French Southern and Antarctic Lands,-0.43,0.33399999999999996
72,Gabon,-0.134,0.12300000000000001
73,Gambia,-0.36,0.129
74,Georgia,-0.46,0.11
75,Germany,0.9,0.068
76,Ghana,-0.225,0.095
77,Greece,-0.141,0.07
78,Greenland,-0.16899999999999998,0.38799999999999996
79,Grenada,-0.204,0.092
80,Guadeloupe,-0.264,0.172
81,Guam,-0.163,0.563
82,Guatemala,-0.43200000000000005,0.086
83,Guernsey,0.271,0.114
84,Guinea,-0.233,0.109
85,Guinea-Bissau,-0.281,0.149
86,Guyana,-0.20800000000000002,0.1
87,Haiti,-0.036000000000000004,0.191
88,Heard Island and McDonald Islands,-0.315,0.35700000000000004
89,Honduras,-0.289,0.133
90,Hong Kong,0.053,0.096
91,Hungary,0.579,0.06
92,Iceland,-0.81,0.09699999999999999
93,India,-0.185,0.091
94,Indonesia,-0.09699999999999999,0.053
95,Iran,-0.261,0.114
96,Iraq,-0.871,0.098
97,Ireland,-0.045,0.087
98,Isle of Man,0.177,0.099
99,Israel,-0.8690000000000001,0.11699999999999999
100,Italy,0.293,0.064
101,Jamaica,-0.146,0.235
102,Japan,-0.001,0.065
103,Jersey,0.271,0.114
104,Jordan,-1.011,0.171
105,Kazakhstan,-0.28600000000000003,0.091
106,Kenya,-0.071,0.129
107,Kiribati,0.12300000000000001,0.235
108,Kuwait,-0.672,0.163
109,Kyrgyzstan,-0.40700000000000003,0.125
110,Laos,-0.172,0.12300000000000001
111,Latvia,0.81,0.09300000000000001
112,Lebanon,-0.922,0.11800000000000001
113,Lesotho,-0.083,0.032
114,Liberia,-0.20800000000000002,0.18899999999999997
115,Libya,-0.579,0.322
116,Liechtenstein,0.597,0.065
117,Lithuania,1.0170000000000001,0.096
118,Luxembourg,0.647,0.1
119,Macau,0.038,0.11
120,Macedonia,-0.078,0.126
121,Madagascar,0.39899999999999997,0.113
122,Malawi,0.11599999999999999,0.11699999999999999
123,Malaysia,-0.10400000000000001,0.057
124,Mali,-0.139,0.129
125,Malta,0.075,0.13699999999999998
126,Martinique,-0.27399999999999997,0.174
127,Mauritania,-0.12,0.135
128,Mauritius,0.14800000000000002,0.083
129,Mayotte,0.261,0.128
130,Mexico,-0.135,0.063
131,Micronesia,-0.11699999999999999,0.196
132,Moldova,0.431,0.182
133,Monaco,0.49,0.11599999999999999
134,Mongolia,-0.46,0.12300000000000001
135,Montenegro,0.055,0.141
136,Montserrat,-0.261,0.174
137,Morocco,0.032,0.157
138,Mozambique,0.139,0.122
139,Myanmar,-0.08,0.126
140,Namibia,-0.105,0.198
141,Nepal,-0.247,0.145
142,Netherlands,0.738,0.121
143,New Caledonia,0.027000000000000003,0.11599999999999999
144,New Zealand,-0.218,0.073
145,Nicaragua,-0.209,0.16399999999999998
146,Niger,-0.321,0.215
147,Nigeria,-0.278,0.126
148,Niue,-0.24600000000000002,0.191
149,North Korea,0.087,0.068
150,Northern Mariana Islands,-0.091,0.517
151,Norway,0.455,0.095
152,Oman,-0.026000000000000002,0.287
153,Pakistan,-0.327,0.08900000000000001
154,Palau,0.075,0.382
155,Palestina,-0.39399999999999996,0.13
156,Panama,-0.254,0.102
157,Papua New Guinea,-0.18600000000000003,0.105
158,Paraguay,0.48700000000000004,0.095
159,Peru,-0.127,0.08
160,Philippines,-0.08900000000000001,0.11800000000000001
161,Poland,1.1540000000000001,0.08900000000000001
162,Portugal,0.024,0.127
163,Puerto Rico,-0.284,0.087
164,Qatar,-0.353,0.134
165,Reunion,0.226,0.153
166,Romania,0.32299999999999995,0.096
167,Russia,0.795,0.08199999999999999
168,Rwanda,-0.251,0.107
169,Saint Barthélemy,-0.337,0.168
170,Saint Kitts and Nevis,-0.314,0.09699999999999999
171,Saint Lucia,-0.23800000000000002,0.083
172,Saint Martin,-0.287,0.166
173,Saint Pierre and Miquelon,0.317,0.094
174,Saint Vincent and the Grenadines,-0.22699999999999998,0.08800000000000001
175,Samoa,-0.418,0.21600000000000003
176,San Marino,0.379,0.069
177,Sao Tome and Principe,-0.057999999999999996,0.081
178,Saudi Arabia,-0.536,0.136
179,Senegal,-0.33,0.10300000000000001
180,Serbia,0.266,0.079
181,Seychelles,-0.027000000000000003,0.175
182,Sierra Leone,-0.157,0.184
183,Singapore,-0.022000000000000002,0.11699999999999999
184,Sint Maarten,-0.287,0.166
185,Slovakia,0.713,0.086
186,Slovenia,0.601,0.106
187,Solomon Islands,-0.179,0.071
188,Somalia,-0.033,0.4
189,South Africa,-0.019,0.078
190,South Georgia and the South Sandwich Isla,-0.013000000000000001,0.5820000000000001
191,South Korea,0.132,0.051
192,Spain,0.207,0.099
193,Sri Lanka,-0.053,0.095
194,Sudan,-0.643,0.12
195,Suriname,-0.19399999999999998,0.09699999999999999
196,Svalbard and Jan Mayen,0.046,0.462
197,Sweden,0.843,0.09
198,Switzerland,0.54,0.077
199,Syria,-1.016,0.09699999999999999
200,Taiwan,0.063,0.09699999999999999
201,Tajikistan,-0.39299999999999996,0.124
202,Tanzania,0.068,0.08800000000000001
203,Thailand,-0.04,0.052000000000000005
204,Timor-Leste,-0.331,0.182
205,Togo,-0.24100000000000002,0.106
206,Tonga,-0.198,0.14800000000000002
207,Trinidad and Tobago,-0.171,0.11199999999999999
208,Tunisia,-0.043,0.135
209,Turkey,-0.868,0.048
210,Turkmenistan,-0.106,0.129
211,Turks and Caicas Islands,0.079,0.318
212,Uganda,-0.201,0.17600000000000002
213,Ukraine,0.524,0.107
214,United Arab Emirates,-0.141,0.158
215,United Kingdom,0.26,0.068
216,United States of America,0.084,0.065
217,Uruguay,0.083,0.10400000000000001
218,Uzbekistan,-0.147,0.11699999999999999
219,Venezuela,-0.23600000000000002,0.166
220,Vietnam,-0.132,0.09
221,Virgin Islands,-0.309,0.083
222,Western Sahara,-0.013999999999999999,0.147
223,Yemen,-0.11900000000000001,0.231
224,Zambia,-0.037000000000000005,0.10300000000000001
225,Zimbabwe,-0.0,0.069
226,Åland,0.8440000000000001,0.124
227,Global Land,-0.006,0.031
