,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,-6.56,-6.77,-3.07,3.45,9.97,15.05,16.79,15.87,11.21,5.80,0.60,-3.62
1,0.33,0.30,0.32,0.28,0.25,0.33,0.38,0.39,0.35,0.28,0.31,0.37
