Country,Anomaly
Afghanistan,
Albania,0.08800000000000001
Algeria,
American Samoa,
Andorra,-0.059000000000000004
Angola,
Anguilla,
Antarctica,
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,0.036000000000000004
Azerbaijan,
Bahamas,-0.086
Bahrain,
Bangladesh,
Barbados,
Belarus,-0.008
Belgium,-0.218
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,0.11
Botswana,
Brazil,
British Virgin Islands,
Bulgaria,0.065
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,0.096
Cuba,
Curaçao,
Cyprus,
Czechia,-0.08199999999999999
Côte d'Ivoire,
Dem. Rep. Congo,
Denmark,-0.33799999999999997
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,-0.122
eSwatini,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,-0.34
Fiji,
Finland,-0.19
France,-0.126
French Guiana,
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,
Germany,-0.154
Ghana,
Greece,0.018000000000000002
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,-0.193
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Honduras,
Hong Kong,
Hungary,0.012
Iceland,
India,
Indonesia,
Iran,
Iraq,
Ireland,-0.358
Isle of Man,-0.267
Israel,
Italy,0.07
Jamaica,
Japan,
Jersey,-0.193
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,-0.091
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,0.044000000000000004
Lithuania,-0.083
Luxembourg,-0.16899999999999998
Macau,
Macedonia,0.078
Madagascar,
Malawi,
Malaysia,
Mali,
Malta,0.185
Martinique,
Mauritania,
Mauritius,
Mayotte,
Mexico,
Micronesia,
Moldova,0.001
Monaco,0.016
Mongolia,
Montenegro,0.12300000000000001
Montserrat,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,-0.259
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
North Korea,
Northern Mariana Islands,
Norway,-0.22
Oman,
Pakistan,
Palau,
Palestina,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,-0.13699999999999998
Portugal,-0.12
Puerto Rico,
Qatar,
Reunion,
Romania,0.027000000000000003
Russia,
Rwanda,
Saint Barthélemy,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,-0.386
Saint Vincent and the Grenadines,
Samoa,
San Marino,0.08900000000000001
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,0.175
Seychelles,
Sierra Leone,
Singapore,
Sint Maarten,
Slovakia,-0.075
Slovenia,0.1
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Isla,
South Korea,
Spain,-0.09
Sri Lanka,
Sudan,
Suriname,
Svalbard and Jan Mayen,0.128
Sweden,-0.272
Switzerland,0.006999999999999999
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,0.154
Turkey,
Turkmenistan,
Turks and Caicas Islands,
Uganda,
Ukraine,-0.013999999999999999
United Arab Emirates,
United Kingdom,-0.382
United States of America,
Uruguay,
Uzbekistan,
Venezuela,
Vietnam,
Virgin Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Åland,-0.254
Global Land,-0.034
