Country,Anomaly
Afghanistan,
Albania,-0.326
Algeria,-0.36700000000000005
American Samoa,
Andorra,-0.192
Angola,
Anguilla,-0.539
Antarctica,
Antigua and Barbuda,-0.503
Argentina,-0.6
Armenia,-0.244
Aruba,-0.457
Australia,
Austria,-0.243
Azerbaijan,-0.231
Bahamas,-0.41
Bahrain,
Bangladesh,
Barbados,-0.488
Belarus,-0.526
Belgium,-0.24
Belize,-0.5710000000000001
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,-0.273
Botswana,
Brazil,
British Virgin Islands,-0.5479999999999999
Bulgaria,-0.35600000000000004
Burkina Faso,
Burundi,
Cambodia,-0.336
Cameroon,
Canada,-0.506
Cape Verde,
Cayman Islands,-0.342
Central African Republic,
Chad,
Chile,-0.613
China,-0.098
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,-0.24600000000000002
Cuba,-0.5
Curaçao,-0.528
Cyprus,-0.301
Czechia,-0.306
Côte d'Ivoire,
Dem. Rep. Congo,
Denmark,-0.41200000000000003
Djibouti,
Dominica,-0.479
Dominican Republic,-0.541
Ecuador,
Egypt,-0.4
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,-0.6509999999999999
eSwatini,-0.41200000000000003
Ethiopia,
Falkland Islands (Islas Malvinas),-0.46399999999999997
Faroe Islands,-0.289
Fiji,
Finland,-0.7659999999999999
France,-0.203
French Guiana,-0.501
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,-0.342
Germany,-0.268
Ghana,
Greece,-0.386
Greenland,-0.792
Grenada,-0.49700000000000005
Guadeloupe,-0.49200000000000005
Guam,
Guatemala,-0.551
Guernsey,-0.196
Guinea,
Guinea-Bissau,
Guyana,-0.498
Haiti,-0.53
Heard Island and McDonald Islands,
Honduras,-0.532
Hong Kong,-0.309
Hungary,-0.322
Iceland,-0.58
India,
Indonesia,
Iran,-0.161
Iraq,-0.252
Ireland,-0.278
Isle of Man,-0.081
Israel,-0.33799999999999997
Italy,-0.261
Jamaica,-0.515
Japan,-0.5720000000000001
Jersey,-0.196
Jordan,-0.349
Kazakhstan,-0.384
Kenya,
Kiribati,
Kuwait,-0.233
Kyrgyzstan,
Laos,-0.203
Latvia,-0.5870000000000001
Lebanon,-0.27699999999999997
Lesotho,
Liberia,
Libya,-0.395
Liechtenstein,-0.247
Lithuania,-0.584
Luxembourg,-0.237
Macau,-0.311
Macedonia,-0.336
Madagascar,
Malawi,
Malaysia,-0.513
Mali,
Malta,-0.264
Martinique,-0.48200000000000004
Mauritania,
Mauritius,
Mayotte,
Mexico,-0.47600000000000003
Micronesia,
Moldova,-0.387
Monaco,-0.278
Mongolia,-0.127
Montenegro,-0.28600000000000003
Montserrat,-0.495
Morocco,-0.278
Mozambique,
Myanmar,-0.5479999999999999
Namibia,
Nepal,
Netherlands,-0.23
New Caledonia,-0.44
New Zealand,-0.365
Nicaragua,-0.501
Niger,
Nigeria,
Niue,
North Korea,-0.282
Northern Mariana Islands,
Norway,-0.586
Oman,
Pakistan,
Palau,
Palestina,-0.523
Panama,
Papua New Guinea,
Paraguay,-0.47600000000000003
Peru,
Philippines,
Poland,-0.455
Portugal,-0.195
Puerto Rico,-0.544
Qatar,
Reunion,
Romania,-0.366
Russia,-0.24100000000000002
Rwanda,
Saint Barthélemy,-0.547
Saint Kitts and Nevis,-0.516
Saint Lucia,-0.49
Saint Martin,-0.539
Saint Pierre and Miquelon,-0.94
Saint Vincent and the Grenadines,-0.493
Samoa,
San Marino,-0.21600000000000003
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,-0.321
Seychelles,
Sierra Leone,
Singapore,-0.643
Sint Maarten,-0.539
Slovakia,-0.39799999999999996
Slovenia,-0.215
Solomon Islands,
Somalia,
South Africa,-0.40299999999999997
South Georgia and the South Sandwich Isla,
South Korea,-0.311
Spain,-0.21100000000000002
Sri Lanka,-0.184
Sudan,
Suriname,
Svalbard and Jan Mayen,-0.40399999999999997
Sweden,-0.662
Switzerland,-0.221
Syria,-0.28
Taiwan,-0.017
Tajikistan,
Tanzania,
Thailand,-0.386
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,-0.49
Tunisia,-0.29100000000000004
Turkey,-0.369
Turkmenistan,-0.18899999999999997
Turks and Caicas Islands,-0.503
Uganda,
Ukraine,-0.43200000000000005
United Arab Emirates,
United Kingdom,-0.22399999999999998
United States of America,-0.445
Uruguay,-0.555
Uzbekistan,-0.25
Venezuela,-0.522
Vietnam,-0.19
Virgin Islands,-0.537
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Åland,-0.701
Global Land,-0.365
