Country,Anomaly
Afghanistan,0.002
Albania,-0.099
Algeria,-0.028999999999999998
American Samoa,-0.07200000000000001
Andorra,0.046
Angola,0.01
Anguilla,-0.17600000000000002
Antarctica,
Antigua and Barbuda,-0.179
Argentina,-0.24
Armenia,0.036000000000000004
Aruba,-0.161
Australia,-0.157
Austria,-0.19899999999999998
Azerbaijan,0.075
Bahamas,-0.05
Bahrain,-0.083
Bangladesh,-0.128
Barbados,-0.209
Belarus,-0.01
Belgium,-0.026000000000000002
Belize,-0.184
Benin,0.185
Bhutan,-0.049
Bolivia,-0.09
Bosnia and Herzegovina,-0.18
Botswana,-0.171
Brazil,-0.11800000000000001
British Virgin Islands,-0.19
Bulgaria,-0.102
Burkina Faso,0.13
Burundi,0.022000000000000002
Cambodia,-0.099
Cameroon,0.223
Canada,0.25
Cape Verde,0.09699999999999999
Cayman Islands,-0.038
Central African Republic,0.21600000000000003
Chad,0.18899999999999997
Chile,-0.147
China,-0.033
Colombia,-0.128
Comoros,0.057
Congo,0.207
Costa Rica,-0.179
Croatia,-0.17800000000000002
Cuba,-0.154
Curaçao,-0.158
Cyprus,0.085
Czechia,-0.212
Côte d'Ivoire,0.055999999999999994
Dem. Rep. Congo,0.115
Denmark,0.003
Djibouti,0.006
Dominica,-0.209
Dominican Republic,-0.166
Ecuador,-0.174
Egypt,0.037000000000000005
El Salvador,-0.17600000000000002
Equatorial Guinea,0.177
Eritrea,-0.06
Estonia,0.26899999999999996
eSwatini,-0.042
Ethiopia,0.027999999999999997
Falkland Islands (Islas Malvinas),-0.078
Faroe Islands,0.322
Fiji,-0.177
Finland,0.523
France,-0.023
French Guiana,-0.128
French Polynesia,-0.033
French Southern and Antarctic Lands,
Gabon,0.141
Gambia,0.051
Georgia,-0.034
Germany,-0.122
Ghana,0.077
Greece,-0.05
Greenland,0.6629999999999999
Grenada,-0.20800000000000002
Guadeloupe,-0.188
Guam,-0.07200000000000001
Guatemala,-0.166
Guernsey,-0.006
Guinea,0.02
Guinea-Bissau,-0.023
Guyana,-0.19399999999999998
Haiti,-0.147
Heard Island and McDonald Islands,
Honduras,-0.163
Hong Kong,-0.06
Hungary,-0.193
Iceland,0.447
India,-0.177
Indonesia,-0.131
Iran,0.052000000000000005
Iraq,0.003
Ireland,0.08900000000000001
Isle of Man,0.147
Israel,0.127
Italy,-0.115
Jamaica,-0.17800000000000002
Japan,-0.369
Jersey,-0.006
Jordan,0.076
Kazakhstan,-0.154
Kenya,0.03
Kiribati,0.016
Kuwait,-0.08800000000000001
Kyrgyzstan,-0.242
Laos,-0.087
Latvia,0.17
Lebanon,0.109
Lesotho,-0.158
Liberia,0.001
Libya,-0.027000000000000003
Liechtenstein,-0.161
Lithuania,0.069
Luxembourg,-0.07
Macau,-0.042
Macedonia,-0.09
Madagascar,-0.063
Malawi,-0.09
Malaysia,-0.135
Mali,0.078
Malta,0.024
Martinique,-0.212
Mauritania,0.107
Mauritius,-0.10400000000000001
Mayotte,-0.044000000000000004
Mexico,-0.025
Micronesia,-0.038
Moldova,-0.21600000000000003
Monaco,-0.047
Mongolia,-0.258
Montenegro,-0.111
Montserrat,-0.182
Morocco,0.012
Mozambique,-0.141
Myanmar,-0.196
Namibia,-0.102
Nepal,-0.172
Netherlands,-0.019
New Caledonia,-0.11800000000000001
New Zealand,-0.325
Nicaragua,-0.156
Niger,0.13699999999999998
Nigeria,0.252
Niue,-0.018000000000000002
North Korea,0.039
Northern Mariana Islands,-0.122
Norway,0.32799999999999996
Oman,-0.23199999999999998
Pakistan,-0.091
Palau,-0.075
Palestina,-0.08
Panama,-0.166
Papua New Guinea,-0.078
Paraguay,-0.21100000000000002
Peru,-0.129
Philippines,-0.13
Poland,-0.073
Portugal,-0.009000000000000001
Puerto Rico,-0.228
Qatar,-0.126
Reunion,-0.035
Romania,-0.192
Russia,0.34299999999999997
Rwanda,0.017
Saint Barthélemy,-0.14
Saint Kitts and Nevis,-0.198
Saint Lucia,-0.215
Saint Martin,-0.17600000000000002
Saint Pierre and Miquelon,-0.233
Saint Vincent and the Grenadines,-0.218
Samoa,-0.077
San Marino,-0.17800000000000002
Sao Tome and Principe,0.16899999999999998
Saudi Arabia,-0.10099999999999999
Senegal,0.052000000000000005
Serbia,-0.146
Seychelles,0.013999999999999999
Sierra Leone,-0.005
Singapore,-0.111
Sint Maarten,-0.17600000000000002
Slovakia,-0.213
Slovenia,-0.18
Solomon Islands,-0.139
Somalia,-0.009000000000000001
South Africa,-0.14800000000000002
South Georgia and the South Sandwich Isla,-0.040999999999999995
South Korea,-0.087
Spain,0.034
Sri Lanka,-0.015
Sudan,0.114
Suriname,-0.18899999999999997
Svalbard and Jan Mayen,0.7290000000000001
Sweden,0.282
Switzerland,-0.14800000000000002
Syria,0.011000000000000001
Taiwan,-0.16
Tajikistan,-0.213
Tanzania,-0.01
Thailand,-0.115
Timor-Leste,-0.16399999999999998
Togo,0.11800000000000001
Tonga,-0.115
Trinidad and Tobago,-0.18600000000000003
Tunisia,-0.027000000000000003
Turkey,-0.033
Turkmenistan,0.062
Turks and Caicas Islands,-0.099
Uganda,0.02
Ukraine,-0.141
United Arab Emirates,-0.177
United Kingdom,0.106
United States of America,0.258
Uruguay,-0.28800000000000003
Uzbekistan,0.021
Venezuela,-0.204
Vietnam,-0.078
Virgin Islands,-0.192
Western Sahara,0.077
Yemen,-0.14300000000000002
Zambia,-0.077
Zimbabwe,-0.157
Åland,0.244
Global Land,0.031
