Country,Anomaly
Afghanistan,
Albania,-0.486
Algeria,
American Samoa,
Andorra,-0.187
Angola,
Anguilla,
Antarctica,
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,-0.243
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,-0.361
Belgium,-0.28
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,-0.342
Botswana,
Brazil,
British Virgin Islands,
Bulgaria,-0.568
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,-0.297
Cuba,
Curaçao,
Cyprus,
Czechia,-0.284
Côte d'Ivoire,
Dem. Rep. Congo,
Denmark,-0.251
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,-0.145
eSwatini,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,-0.392
Fiji,
Finland,-0.162
France,-0.18899999999999997
French Guiana,
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,
Germany,-0.27699999999999997
Ghana,
Greece,-0.643
Greenland,-0.889
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,-0.281
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Honduras,
Hong Kong,
Hungary,-0.366
Iceland,
India,
Indonesia,
Iran,
Iraq,
Ireland,-0.405
Isle of Man,-0.326
Israel,
Italy,-0.285
Jamaica,
Japan,
Jersey,-0.281
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,-0.17600000000000002
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,-0.184
Lithuania,-0.231
Luxembourg,-0.263
Macau,
Macedonia,-0.516
Madagascar,
Malawi,
Malaysia,
Mali,
Malta,-0.402
Martinique,
Mauritania,
Mauritius,
Mayotte,
Mexico,
Micronesia,
Moldova,-0.624
Monaco,-0.135
Mongolia,
Montenegro,-0.409
Montserrat,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,-0.29
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
North Korea,
Northern Mariana Islands,
Norway,-0.168
Oman,
Pakistan,
Palau,
Palestina,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,-0.35600000000000004
Portugal,-0.46299999999999997
Puerto Rico,
Qatar,
Reunion,
Romania,-0.5329999999999999
Russia,
Rwanda,
Saint Barthélemy,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,-1.058
Saint Vincent and the Grenadines,
Samoa,
San Marino,-0.263
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,-0.35100000000000003
Seychelles,
Sierra Leone,
Singapore,
Sint Maarten,
Slovakia,-0.39299999999999996
Slovenia,-0.256
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Isla,
South Korea,
Spain,-0.349
Sri Lanka,-0.725
Sudan,
Suriname,
Svalbard and Jan Mayen,-0.345
Sweden,-0.13
Switzerland,-0.201
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,-0.38
Turkey,-0.838
Turkmenistan,
Turks and Caicas Islands,
Uganda,
Ukraine,-0.632
United Arab Emirates,
United Kingdom,-0.311
United States of America,-0.667
Uruguay,
Uzbekistan,
Venezuela,
Vietnam,
Virgin Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Åland,-0.08900000000000001
Global Land,-0.698
