,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,20.81,20.10,18.76,16.60,14.57,12.81,12.34,13.50,15.48,17.41,19.30,20.44
1,0.09,0.08,0.08,0.07,0.10,0.10,0.09,0.08,0.07,0.08,0.09,0.11
