,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,23.91,23.43,22.33,19.38,15.96,13.12,12.96,15.00,18.50,20.90,22.47,23.42
1,0.22,0.22,0.23,0.23,0.23,0.24,0.23,0.21,0.23,0.24,0.24,0.24
