,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,24.42,26.49,28.68,30.17,31.23,30.37,28.50,27.73,28.01,28.58,27.36,24.44
1,0.21,0.21,0.19,0.21,0.23,0.21,0.18,0.20,0.20,0.17,0.18,0.20
