,"In Temp, not in Map (16)","In Map, not in Temp (40)"
0,Baker Island,Akrotiri
1,"Bonaire, Saint Eustatius and Saba",Ashmore and Cartier Is.
2,Burma,Baikonur
3,Christmas Island,Bajo Nuevo Bank
4,Congo (Democratic Republic of the),Bermuda
5,Czech Republic,Br. Indian Ocean Ter.
6,Denmark (Europe),Brunei
7,Federated States of Micronesia,Clipperton I.
8,France (Europe),Cook Is.
9,Gaza Strip,Coral Sea Is.
10,Kingman Reef,Cyprus U.N. Buffer Zone
11,Netherlands (Europe),Czechia
12,Palmyra Atoll,Dem. Rep. Congo
13,Swaziland,Dhekelia
14,United Kingdom (Europe),Gibraltar
15,United States,Indian Ocean Ter.
16,,Kosovo
17,,Maldives
18,,Marshall Is.
19,,Micronesia
20,,Myanmar
21,,N. Cyprus
22,,Nauru
23,,Norfolk Island
24,,Pitcairn Is.
25,,S. Sudan
26,,Saint Helena
27,,Scarborough Reef
28,,Serranilla Bank
29,,Siachen Glacier
30,,Somaliland
31,,Spratly Is.
32,,Tuvalu
33,,U.S. Minor Outlying Is.
34,,USNB Guantanamo Bay
35,,United States of America
36,,Vanuatu
37,,Vatican
38,,Wallis and Futuna Is.
39,,eSwatini
