,"In Temp, not in Map (0)","In Map, not in Temp (36)"
0,,Akrotiri
1,,Ashmore and Cartier Is.
2,,Baikonur
3,,Bajo Nuevo Bank
4,,Bermuda
5,,Bouvet Island
6,,Br. Indian Ocean Ter.
7,,Brunei
8,,Caribbean Netherlands
9,,Clipperton I.
10,,Cook Is.
11,,Coral Sea Is.
12,,Cyprus U.N. Buffer Zone
13,,Dhekelia
14,,Gibraltar
15,,Indian Ocean Ter.
16,,Kosovo
17,,Maldives
18,,Marshall Is.
19,,N. Cyprus
20,,Nauru
21,,Norfolk Island
22,,Pitcairn Is.
23,,S. Sudan
24,,Saint Helena
25,,Scarborough Reef
26,,Serranilla Bank
27,,Siachen Glacier
28,,Somaliland
29,,Spratly Is.
30,,Tuvalu
31,,U.S. Minor Outlying Is.
32,,USNB Guantanamo Bay
33,,Vanuatu
34,,Vatican
35,,Wallis and Futuna Is.
