,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,26.15,26.19,26.49,26.96,27.50,27.78,27.49,27.23,27.23,27.11,27.28,26.70
1,0.22,0.23,0.23,0.22,0.23,0.23,0.22,0.23,0.24,0.23,0.23,0.23
