,Country,Anomaly,Unc.
0,Albania,-0.265,1.023
1,Algeria,,
2,Andorra,-0.327,0.998
3,Austria,-0.45799999999999996,1.016
4,Bahamas,,
5,Belarus,-0.539,1.0070000000000001
6,Belgium,-0.561,1.085
7,Bosnia and Herz,-0.359,1.097
8,Bulgaria,-0.235,1.036
9,Croatia,-0.392,1.114
10,Czechia,-0.555,1.115
11,Denmark,-0.8340000000000001,1.1
12,Estonia,-0.5720000000000001,0.882
13,Faeroe Is,-0.557,1.25
14,Finland,-0.488,1.114
15,France,-0.44299999999999995,1.024
16,Germany,-0.574,1.021
17,Greece,-0.21899999999999997,0.971
18,Greenland,,
19,Guernsey,-0.521,0.885
20,Hungary,-0.565,1.056
21,Ireland,-0.6859999999999999,0.9670000000000001
22,Isle of Man,-0.753,0.966
23,Italy,-0.384,1.121
24,Jersey,-0.521,0.885
25,Latvia,-0.629,0.9229999999999999
26,Liechtenstein,-0.36700000000000005,0.9890000000000001
27,Lithuania,-0.727,0.971
28,Luxembourg,-0.53,1.131
29,Macedonia,-0.263,1.038
30,Malta,-0.086,0.9490000000000001
31,Mauritius,,
32,Mayotte,,
33,Moldova,-0.384,1.1059999999999999
34,Montenegro,-0.28800000000000003,1.052
35,Morocco,,
36,Netherlands,-0.6629999999999999,1.057
37,Norway,-0.652,1.199
38,Poland,-0.8029999999999999,1.028
39,Portugal,0.006999999999999999,0.94
40,Reunion,,
41,Romania,-0.406,1.044
42,San Marino,-0.379,1.171
43,Serbia,-0.371,1.068
44,Slovakia,-0.715,1.028
45,Slovenia,-0.374,1.135
46,Spain,-0.11199999999999999,0.94
47,St. Pierre and Miquelon,-0.46399999999999997,1.119
48,Svalbard and Jan Mayen,-0.08,2.124
49,Sweden,-0.7959999999999999,1.1179999999999999
50,Switzerland,-0.456,1.068
51,Tunisia,0.012,0.9570000000000001
52,Ukraine,-0.369,1.122
53,United Kingdom,-0.828,1.044
54,United States,,
55,Åland,-0.865,1.916
