,Country,Anomaly,Unc.
0,Albania,-0.456,0.9059999999999999
1,Andorra,-0.511,1.249
2,Austria,-0.242,0.872
3,Bahamas,-0.368,0.825
4,Belarus,0.488,1.208
5,Belgium,-0.085,1.2209999999999999
6,Bosnia and Herz,-0.389,0.919
7,Bulgaria,,
8,Croatia,-0.364,0.915
9,Czechia,-0.035,1.3330000000000002
10,Denmark,0.449,1.182
11,Estonia,0.932,1.361
12,Faeroe Is,-0.243,1.094
13,Finland,0.703,1.469
14,France,-0.41200000000000003,1.2590000000000001
15,Germany,0.111,1.0979999999999999
16,Guernsey,-0.523,1.38
17,Hungary,-0.235,0.889
18,Ireland,-0.47100000000000003,1.254
19,Isle of Man,-0.51,1.36
20,Italy,-0.484,1.091
21,Jersey,-0.523,1.38
22,Latvia,0.889,1.321
23,Liechtenstein,-0.221,1.09
24,Lithuania,0.753,1.249
25,Luxembourg,-0.115,1.2109999999999999
26,Macedonia,-0.428,0.935
27,Moldova,-0.11199999999999999,1.1159999999999999
28,Montenegro,-0.406,0.9009999999999999
29,Netherlands,0.092,1.209
30,Norway,0.46299999999999997,1.382
31,Poland,0.327,1.024
32,Romania,-0.20800000000000002,0.9690000000000001
33,San Marino,-0.46,1.021
34,Serbia,-0.373,1.158
35,Slovakia,-0.114,0.885
36,Slovenia,-0.35200000000000004,0.9179999999999999
37,Spain,-0.49,1.157
38,St. Pierre and Miquelon,-0.5529999999999999,1.194
39,Svalbard and Jan Mayen,0.006999999999999999,2.197
40,Sweden,0.736,1.412
41,Switzerland,-0.36700000000000005,1.255
42,Ukraine,0.018000000000000002,1.1840000000000002
43,United Kingdom,-0.324,1.265
44,United States,,
45,Åland,1.117,1.212
