,Country,Anomaly,Unc.
0,Albania,-1.01,0.825
1,Algeria,,
2,Andorra,-0.65,1.327
3,Austria,-1.892,1.222
4,Bahamas,-0.033,0.863
5,Belarus,-1.74,1.018
6,Belgium,-1.828,1.3319999999999999
7,Bosnia and Herz,-1.357,1.048
8,Bulgaria,-1.125,0.971
9,Croatia,-1.496,1.137
10,Czechia,-2.253,1.2690000000000001
11,Denmark,-1.925,1.138
12,Estonia,-1.589,0.727
13,Faeroe Is,-0.705,1.1340000000000001
14,Finland,-1.314,1.089
15,France,-1.151,1.328
16,Germany,-2.051,1.2590000000000001
17,Greece,-0.841,0.757
18,Greenland,,
19,Guernsey,-0.9259999999999999,1.318
20,Hungary,-1.906,1.237
21,Ireland,-0.493,1.199
22,Isle of Man,-0.48700000000000004,1.469
23,Italy,-1.025,0.973
24,Jersey,-0.9259999999999999,1.318
25,Latvia,-1.7930000000000001,0.85
26,Liechtenstein,-1.663,1.183
27,Lithuania,-2.0180000000000002,0.985
28,Luxembourg,-1.8359999999999999,1.334
29,Macedonia,-1.0659999999999998,0.882
30,Malta,-0.307,0.48200000000000004
31,Mauritius,,
32,Mayotte,,
33,Moldova,-1.455,1.146
34,Montenegro,-1.165,0.927
35,Morocco,,
36,Netherlands,-1.899,1.245
37,Norway,-1.2670000000000001,1.1059999999999999
38,Poland,-2.289,1.171
39,Portugal,-0.107,1.148
40,Reunion,,
41,Romania,-1.51,1.095
42,San Marino,-1.252,1.081
43,Serbia,-1.255,1.073
44,Slovakia,-2.194,1.225
45,Slovenia,-1.551,1.203
46,Spain,-0.27399999999999997,1.213
47,Sri Lanka,-0.155,0.713
48,St. Pierre and Miquelon,-0.281,1.2830000000000001
49,Svalbard and Jan Mayen,-0.175,2.169
50,Sweden,-1.625,0.96
51,Switzerland,-1.5590000000000002,1.355
52,Tunisia,-0.12300000000000001,0.623
53,Ukraine,-1.41,1.1440000000000001
54,United Kingdom,-0.904,1.256
55,United States,,
56,Åland,-1.851,1.726
