,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,21.29,20.50,18.34,14.30,11.22,8.05,7.96,9.60,12.20,15.04,18.15,20.19
1,0.23,0.22,0.22,0.22,0.23,0.24,0.24,0.22,0.22,0.22,0.23,0.24
