,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,4.90,5.03,6.49,8.13,10.75,13.31,14.70,14.62,13.03,10.56,7.25,5.93
1,0.32,0.27,0.27,0.29,0.35,0.36,0.30,0.27,0.27,0.27,0.34,0.39
