Country,Anomaly
Afghanistan,
Albania,-0.595
Algeria,
American Samoa,
Andorra,-0.292
Angola,
Anguilla,
Antarctica,
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,-0.37799999999999995
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,-0.523
Belgium,-0.309
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,-0.48200000000000004
Botswana,
Brazil,
British Virgin Islands,
Bulgaria,-0.6559999999999999
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,-0.442
Cuba,
Curaçao,
Cyprus,
Czechia,-0.6459999999999999
Côte d'Ivoire,
Dem. Rep. Congo,
Denmark,-0.573
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,-0.424
eSwatini,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,-0.6940000000000001
Fiji,
Finland,-0.49
France,-0.259
French Guiana,
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,
Germany,-0.39899999999999997
Ghana,
Greece,
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,-0.46
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Honduras,
Hong Kong,
Hungary,-0.528
Iceland,
India,
Indonesia,
Iran,
Iraq,
Ireland,-0.58
Isle of Man,-0.488
Israel,
Italy,-0.41600000000000004
Jamaica,
Japan,
Jersey,-0.46
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,-0.442
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,-0.285
Lithuania,-0.47
Luxembourg,-0.281
Macau,
Macedonia,-0.621
Madagascar,
Malawi,
Malaysia,
Mali,
Malta,
Martinique,
Mauritania,
Mauritius,
Mayotte,
Mexico,
Micronesia,
Moldova,-0.6829999999999999
Monaco,-0.29600000000000004
Mongolia,
Montenegro,-0.531
Montserrat,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,-0.391
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
North Korea,
Northern Mariana Islands,
Norway,-0.569
Oman,
Pakistan,
Palau,
Palestina,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,-0.515
Portugal,
Puerto Rico,
Qatar,
Reunion,
Romania,-0.638
Russia,
Rwanda,
Saint Barthélemy,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,-1.131
Saint Vincent and the Grenadines,
Samoa,
San Marino,-0.40700000000000003
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,-0.787
Seychelles,
Sierra Leone,
Singapore,
Sint Maarten,
Slovakia,-0.556
Slovenia,-0.39
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Isla,
South Korea,
Spain,
Sri Lanka,
Sudan,
Suriname,
Svalbard and Jan Mayen,
Sweden,-0.525
Switzerland,-0.262
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicas Islands,
Uganda,
Ukraine,-0.6729999999999999
United Arab Emirates,
United Kingdom,-0.52
United States of America,
Uruguay,
Uzbekistan,
Venezuela,
Vietnam,
Virgin Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Åland,-0.299
Global Land,-0.748
