,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,23.85,23.22,21.45,17.34,14.56,11.77,11.67,12.48,14.33,16.71,19.61,22.23
1,0.23,0.23,0.23,0.23,0.23,0.24,0.25,0.25,0.23,0.25,0.25,0.24
