,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,3.36,3.45,5.17,7.19,10.33,13.19,14.64,14.57,12.74,9.87,6.17,4.42
1,0.21,0.21,0.19,0.20,0.20,0.20,0.21,0.22,0.19,0.20,0.20,0.20
