Country,Anomaly
Afghanistan,-0.061
Albania,0.26
Algeria,0.08
American Samoa,0.059000000000000004
Andorra,0.37200000000000005
Angola,-0.051
Anguilla,-0.128
Antarctica,
Antigua and Barbuda,-0.124
Argentina,-0.223
Armenia,-0.135
Aruba,-0.239
Australia,-0.282
Austria,0.171
Azerbaijan,-0.19699999999999998
Bahamas,0.045
Bahrain,-0.067
Bangladesh,-0.065
Barbados,-0.158
Belarus,0.042
Belgium,0.08199999999999999
Belize,0.133
Benin,-0.071
Bhutan,0.005
Bolivia,-0.254
Bosnia and Herzegovina,0.29600000000000004
Botswana,-0.042
Brazil,-0.156
British Virgin Islands,-0.139
Bulgaria,0.09
Burkina Faso,-0.061
Burundi,-0.068
Cambodia,-0.09
Cameroon,-0.059000000000000004
Canada,0.098
Cape Verde,-0.106
Cayman Islands,0.011000000000000001
Central African Republic,-0.11
Chad,-0.08800000000000001
Chile,-0.242
China,-0.03
Colombia,-0.20600000000000002
Comoros,-0.039
Congo,0.040999999999999995
Costa Rica,-0.08900000000000001
Croatia,0.248
Cuba,-0.027999999999999997
Curaçao,-0.161
Cyprus,-0.019
Czechia,0.095
Côte d'Ivoire,-0.07400000000000001
Dem. Rep. Congo,-0.009000000000000001
Denmark,0.126
Djibouti,-0.1
Dominica,-0.124
Dominican Republic,-0.129
Ecuador,-0.22899999999999998
Egypt,-0.10400000000000001
El Salvador,0.11
Equatorial Guinea,-0.034
Eritrea,-0.16899999999999998
Estonia,0.158
eSwatini,-0.026000000000000002
Ethiopia,-0.10800000000000001
Falkland Islands (Islas Malvinas),-0.18
Faroe Islands,0.11
Fiji,0.027000000000000003
Finland,0.38
France,0.244
French Guiana,-0.129
French Polynesia,0.025
French Southern and Antarctic Lands,-0.114
Gabon,-0.052000000000000005
Gambia,-0.2
Georgia,-0.14300000000000002
Germany,0.106
Ghana,-0.068
Greece,0.125
Greenland,0.13699999999999998
Grenada,-0.19699999999999998
Guadeloupe,-0.155
Guam,-0.109
Guatemala,0.114
Guernsey,0.127
Guinea,-0.201
Guinea-Bissau,-0.154
Guyana,-0.191
Haiti,-0.11699999999999999
Heard Island and McDonald Islands,-0.13699999999999998
Honduras,0.091
Hong Kong,-0.026000000000000002
Hungary,0.16899999999999998
Iceland,0.2
India,-0.003
Indonesia,-0.11
Iran,-0.158
Iraq,-0.076
Ireland,0.045
Isle of Man,0.083
Israel,0.003
Italy,0.305
Jamaica,-0.125
Japan,-0.015
Jersey,0.127
Jordan,0.003
Kazakhstan,-0.45399999999999996
Kenya,-0.027999999999999997
Kiribati,-0.177
Kuwait,-0.059000000000000004
Kyrgyzstan,-0.45
Laos,-0.05
Latvia,0.128
Lebanon,0.034
Lesotho,-0.102
Liberia,-0.168
Libya,0.023
Liechtenstein,0.23399999999999999
Lithuania,0.122
Luxembourg,0.113
Macau,-0.039
Macedonia,0.20800000000000002
Madagascar,-0.068
Malawi,-0.032
Malaysia,-0.086
Mali,-0.12300000000000001
Malta,0.33899999999999997
Martinique,-0.152
Mauritania,-0.129
Mauritius,-0.061
Mayotte,-0.019
Mexico,0.20199999999999999
Micronesia,-0.13
Moldova,-0.06
Monaco,0.302
Mongolia,-0.341
Montenegro,0.304
Montserrat,-0.156
Morocco,0.172
Mozambique,-0.028999999999999998
Myanmar,-0.027000000000000003
Namibia,-0.078
Nepal,0.052000000000000005
Netherlands,0.062
New Caledonia,0.105
New Zealand,-0.16399999999999998
Nicaragua,0.013999999999999999
Niger,-0.099
Nigeria,-0.085
Niue,0.07
North Korea,-0.079
Northern Mariana Islands,-0.002
Norway,0.289
Oman,-0.107
Pakistan,0.016
Palau,-0.08
Palestina,0.024
Panama,-0.14800000000000002
Papua New Guinea,-0.022000000000000002
Paraguay,-0.179
Peru,-0.24600000000000002
Philippines,-0.057
Poland,0.07400000000000001
Portugal,0.381
Puerto Rico,-0.132
Qatar,-0.079
Reunion,-0.06
Romania,0.085
Russia,0.11900000000000001
Rwanda,-0.08199999999999999
Saint Barthélemy,-0.109
Saint Kitts and Nevis,-0.145
Saint Lucia,-0.17600000000000002
Saint Martin,-0.128
Saint Pierre and Miquelon,0.21
Saint Vincent and the Grenadines,-0.19
Samoa,0.040999999999999995
San Marino,0.244
Sao Tome and Principe,0.037000000000000005
Saudi Arabia,-0.091
Senegal,-0.225
Serbia,0.231
Seychelles,-0.062
Sierra Leone,-0.183
Singapore,-0.107
Sint Maarten,-0.128
Slovakia,0.11
Slovenia,0.214
Solomon Islands,-0.07
Somalia,-0.057
South Africa,-0.127
South Georgia and the South Sandwich Isla,-0.168
South Korea,-0.025
Spain,0.361
Sri Lanka,-0.048
Sudan,-0.253
Suriname,-0.158
Svalbard and Jan Mayen,0.45299999999999996
Sweden,0.265
Switzerland,0.268
Syria,-0.012
Taiwan,-0.012
Tajikistan,-0.261
Tanzania,-0.0
Thailand,-0.11699999999999999
Timor-Leste,-0.11800000000000001
Togo,-0.07400000000000001
Tonga,0.124
Trinidad and Tobago,-0.228
Tunisia,0.313
Turkey,-0.081
Turkmenistan,-0.363
Turks and Caicas Islands,-0.14300000000000002
Uganda,-0.129
Ukraine,-0.077
United Arab Emirates,-0.08900000000000001
United Kingdom,0.059000000000000004
United States of America,0.039
Uruguay,-0.23600000000000002
Uzbekistan,-0.433
Venezuela,-0.272
Vietnam,-0.015
Virgin Islands,-0.11699999999999999
Western Sahara,-0.027999999999999997
Yemen,-0.122
Zambia,0.012
Zimbabwe,0.027000000000000003
Åland,0.252
Global Land,-0.053
