Country,Anomaly
Afghanistan,
Albania,-0.319
Algeria,-0.20199999999999999
American Samoa,
Andorra,-0.259
Angola,
Anguilla,-0.485
Antarctica,
Antigua and Barbuda,-0.41700000000000004
Argentina,-0.527
Armenia,-0.046
Aruba,-0.396
Australia,
Austria,-0.358
Azerbaijan,-0.049
Bahamas,-0.308
Bahrain,
Bangladesh,-0.303
Barbados,-0.425
Belarus,-0.514
Belgium,-0.337
Belize,-0.537
Benin,
Bhutan,-0.222
Bolivia,
Bosnia and Herzegovina,-0.31
Botswana,
Brazil,
British Virgin Islands,-0.475
Bulgaria,-0.32899999999999996
Burkina Faso,
Burundi,
Cambodia,-0.26899999999999996
Cameroon,
Canada,-0.376
Cape Verde,-0.423
Cayman Islands,-0.231
Central African Republic,
Chad,
Chile,-0.42200000000000004
China,-0.151
Colombia,
Comoros,
Congo,-0.541
Costa Rica,
Croatia,-0.32799999999999996
Cuba,-0.391
Curaçao,-0.434
Cyprus,-0.222
Czechia,-0.40700000000000003
Côte d'Ivoire,-0.594
Dem. Rep. Congo,
Denmark,-0.501
Djibouti,
Dominica,-0.409
Dominican Republic,-0.395
Ecuador,
Egypt,-0.363
El Salvador,
Equatorial Guinea,-0.466
Eritrea,
Estonia,-0.5429999999999999
eSwatini,-0.483
Ethiopia,
Falkland Islands (Islas Malvinas),-0.556
Faroe Islands,-0.519
Fiji,
Finland,-0.698
France,-0.322
French Guiana,-0.511
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,-0.259
Georgia,-0.113
Germany,-0.345
Ghana,
Greece,-0.38799999999999996
Greenland,-0.462
Grenada,-0.42
Guadeloupe,-0.48700000000000004
Guam,
Guatemala,-0.516
Guernsey,-0.38799999999999996
Guinea,-0.348
Guinea-Bissau,-0.301
Guyana,-0.434
Haiti,-0.369
Heard Island and McDonald Islands,
Honduras,-0.447
Hong Kong,-0.49700000000000005
Hungary,-0.39799999999999996
Iceland,-0.452
India,-0.298
Indonesia,-0.517
Iran,0.022000000000000002
Iraq,-0.098
Ireland,-0.49700000000000005
Isle of Man,-0.38799999999999996
Israel,-0.268
Italy,-0.28300000000000003
Jamaica,-0.32899999999999996
Japan,-0.445
Jersey,-0.38799999999999996
Jordan,-0.272
Kazakhstan,-0.221
Kenya,
Kiribati,
Kuwait,-0.067
Kyrgyzstan,-0.20199999999999999
Laos,-0.179
Latvia,-0.535
Lebanon,-0.18100000000000002
Lesotho,
Liberia,-0.39799999999999996
Libya,-0.292
Liechtenstein,-0.32299999999999995
Lithuania,-0.55
Luxembourg,-0.326
Macau,-0.493
Macedonia,-0.33
Madagascar,
Malawi,
Malaysia,-0.466
Mali,-0.258
Malta,-0.157
Martinique,-0.494
Mauritania,-0.2
Mauritius,
Mayotte,
Mexico,-0.5710000000000001
Micronesia,
Moldova,-0.493
Monaco,-0.316
Mongolia,-0.185
Montenegro,-0.285
Montserrat,-0.485
Morocco,-0.248
Mozambique,
Myanmar,-0.455
Namibia,
Nepal,-0.293
Netherlands,-0.33799999999999997
New Caledonia,-0.39799999999999996
New Zealand,-0.32
Nicaragua,-0.39
Niger,
Nigeria,
Niue,
North Korea,-0.31
Northern Mariana Islands,
Norway,-0.637
Oman,
Pakistan,
Palau,
Palestina,-0.43799999999999994
Panama,
Papua New Guinea,
Paraguay,-0.414
Peru,
Philippines,
Poland,-0.45
Portugal,-0.31
Puerto Rico,-0.43
Qatar,
Reunion,
Romania,-0.413
Russia,-0.209
Rwanda,
Saint Barthélemy,-0.46399999999999997
Saint Kitts and Nevis,-0.42200000000000004
Saint Lucia,-0.418
Saint Martin,-0.485
Saint Pierre and Miquelon,-0.8440000000000001
Saint Vincent and the Grenadines,-0.414
Samoa,
San Marino,-0.3
Sao Tome and Principe,-0.591
Saudi Arabia,
Senegal,-0.257
Serbia,-0.38299999999999995
Seychelles,
Sierra Leone,-0.389
Singapore,-0.547
Sint Maarten,-0.485
Slovakia,-0.442
Slovenia,-0.317
Solomon Islands,
Somalia,
South Africa,-0.512
South Georgia and the South Sandwich Isla,
South Korea,-0.408
Spain,-0.225
Sri Lanka,-0.265
Sudan,
Suriname,
Svalbard and Jan Mayen,-0.451
Sweden,-0.635
Switzerland,-0.314
Syria,-0.156
Taiwan,-0.21600000000000003
Tajikistan,
Tanzania,
Thailand,-0.27899999999999997
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,-0.401
Tunisia,-0.109
Turkey,-0.23800000000000002
Turkmenistan,0.065
Turks and Caicas Islands,-0.387
Uganda,
Ukraine,-0.43700000000000006
United Arab Emirates,
United Kingdom,-0.469
United States of America,-0.436
Uruguay,-0.61
Uzbekistan,0.011000000000000001
Venezuela,-0.406
Vietnam,-0.188
Virgin Islands,-0.433
Western Sahara,-0.212
Yemen,
Zambia,
Zimbabwe,
Åland,-0.6920000000000001
Global Land,-0.313
