Country,Anomaly
Afghanistan,-0.20600000000000002
Albania,-0.515
Algeria,0.14
American Samoa,-0.248
Andorra,-0.698
Angola,-0.059000000000000004
Anguilla,-0.11900000000000001
Antarctica,
Antigua and Barbuda,-0.135
Argentina,0.183
Armenia,-0.852
Aruba,0.068
Australia,-0.2
Austria,-0.156
Azerbaijan,-0.737
Bahamas,0.175
Bahrain,-0.45899999999999996
Bangladesh,0.021
Barbados,-0.07200000000000001
Belarus,0.41
Belgium,-0.102
Belize,-0.079
Benin,-0.078
Bhutan,0.002
Bolivia,-0.37200000000000005
Bosnia and Herzegovina,-0.701
Botswana,-0.18899999999999997
Brazil,-0.065
British Virgin Islands,-0.10099999999999999
Bulgaria,-0.545
Burkina Faso,0.183
Burundi,-0.11199999999999999
Cambodia,-0.35
Cameroon,0.324
Canada,0.039
Cape Verde,0.066
Cayman Islands,0.23600000000000002
Central African Republic,0.36200000000000004
Chad,0.5760000000000001
Chile,0.059000000000000004
China,0.02
Colombia,-0.32799999999999996
Comoros,-0.244
Congo,-0.10400000000000001
Costa Rica,-0.145
Croatia,-0.621
Cuba,0.078
Curaçao,-0.134
Cyprus,-0.121
Czechia,-0.038
Côte d'Ivoire,-0.345
Dem. Rep. Congo,-0.061
Denmark,0.441
Djibouti,-0.47600000000000003
Dominica,-0.033
Dominican Republic,-0.134
Ecuador,-0.29600000000000004
Egypt,-0.226
El Salvador,-0.213
Equatorial Guinea,-0.013000000000000001
Eritrea,-0.273
Estonia,0.46299999999999997
eSwatini,0.113
Ethiopia,-0.318
Falkland Islands (Islas Malvinas),-0.21
Faroe Islands,0.237
Fiji,-0.177
Finland,0.727
France,-0.49200000000000005
French Guiana,0.025
French Polynesia,-0.079
French Southern and Antarctic Lands,
Gabon,-0.027999999999999997
Gambia,0.151
Georgia,-1.08
Germany,0.04
Ghana,-0.34600000000000003
Greece,-0.349
Greenland,1.23
Grenada,-0.09699999999999999
Guadeloupe,-0.12300000000000001
Guam,-0.179
Guatemala,-0.14300000000000002
Guernsey,-0.22899999999999998
Guinea,-0.157
Guinea-Bissau,0.12300000000000001
Guyana,-0.115
Haiti,-0.159
Heard Island and McDonald Islands,
Honduras,-0.13699999999999998
Hong Kong,-0.479
Hungary,-0.54
Iceland,0.573
India,-0.046
Indonesia,-0.21600000000000003
Iran,-0.43799999999999994
Iraq,-0.39299999999999996
Ireland,0.087
Isle of Man,0.113
Israel,-0.175
Italy,-0.442
Jamaica,-0.06
Japan,-0.293
Jersey,-0.22899999999999998
Jordan,-0.243
Kazakhstan,0.304
Kenya,-0.324
Kiribati,-0.198
Kuwait,-0.456
Kyrgyzstan,-0.17
Laos,-0.47200000000000003
Latvia,0.5
Lebanon,-0.14
Lesotho,0.23600000000000002
Liberia,-0.43799999999999994
Libya,0.301
Liechtenstein,-0.214
Lithuania,0.47
Luxembourg,-0.179
Macau,-0.504
Macedonia,-0.562
Madagascar,-0.221
Malawi,-0.209
Malaysia,-0.306
Mali,0.282
Malta,0.015
Martinique,-0.024
Mauritania,0.075
Mauritius,-0.29100000000000004
Mayotte,-0.122
Mexico,-0.08900000000000001
Micronesia,-0.166
Moldova,-0.7170000000000001
Monaco,-0.536
Mongolia,0.342
Montenegro,-0.65
Montserrat,-0.147
Morocco,-0.528
Mozambique,-0.13699999999999998
Myanmar,-0.068
Namibia,-0.16899999999999998
Nepal,0.225
Netherlands,0.11900000000000001
New Caledonia,-0.092
New Zealand,-0.73
Nicaragua,-0.138
Niger,0.494
Nigeria,0.261
Niue,-0.317
North Korea,-0.10800000000000001
Northern Mariana Islands,-0.209
Norway,0.41200000000000003
Oman,-0.10099999999999999
Pakistan,0.048
Palau,-0.218
Palestina,-0.106
Panama,-0.18100000000000002
Papua New Guinea,0.013999999999999999
Paraguay,-0.078
Peru,-0.253
Philippines,-0.314
Poland,0.204
Portugal,-0.6809999999999999
Puerto Rico,-0.08199999999999999
Qatar,-0.377
Reunion,-0.217
Romania,-0.8320000000000001
Russia,0.807
Rwanda,-0.06
Saint Barthélemy,-0.065
Saint Kitts and Nevis,-0.134
Saint Lucia,-0.08
Saint Martin,-0.11900000000000001
Saint Pierre and Miquelon,-0.075
Saint Vincent and the Grenadines,-0.087
Samoa,-0.226
San Marino,-0.586
Sao Tome and Principe,-0.24
Saudi Arabia,-0.316
Senegal,0.105
Serbia,-0.778
Seychelles,-0.188
Sierra Leone,-0.28300000000000003
Singapore,-0.34700000000000003
Sint Maarten,-0.11900000000000001
Slovakia,-0.221
Slovenia,-0.517
Solomon Islands,-0.222
Somalia,-0.39799999999999996
South Africa,0.22
South Georgia and the South Sandwich Isla,-0.183
South Korea,-0.139
Spain,-0.713
Sri Lanka,-0.284
Sudan,0.035
Suriname,-0.028999999999999998
Svalbard and Jan Mayen,0.242
Sweden,0.612
Switzerland,-0.47200000000000003
Syria,-0.295
Taiwan,-0.58
Tajikistan,-0.262
Tanzania,-0.10800000000000001
Thailand,-0.318
Timor-Leste,-0.488
Togo,-0.249
Tonga,-0.257
Trinidad and Tobago,-0.10300000000000001
Tunisia,0.075
Turkey,-0.5579999999999999
Turkmenistan,-0.44299999999999995
Turks and Caicas Islands,0.019
Uganda,0.009000000000000001
Ukraine,-0.322
United Arab Emirates,-0.257
United Kingdom,0.022000000000000002
United States of America,-0.076
Uruguay,0.145
Uzbekistan,-0.268
Venezuela,-0.141
Vietnam,-0.53
Virgin Islands,-0.10800000000000001
Western Sahara,-0.187
Yemen,-0.307
Zambia,-0.16
Zimbabwe,-0.157
Åland,0.325
Global Land,0.057
