,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,22.82,23.81,25.60,26.61,26.79,25.80,25.26,25.50,25.44,24.45,23.53,22.64
1,0.45,0.46,0.47,0.43,0.43,0.44,0.44,0.44,0.46,0.45,0.43,0.44
